sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
1,4,1,45580001,manual_opp_m2_14000,seededsupervisor_pilot8_v2_m4_eta0p496_seed45580001,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_v2_m4_eta0p496_seed45580001.csv
2,2,1,25580001,pinv_bounded_wls,seededsupervisor_pilot8_v2_m2_eta0p496_seed25580001,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_v2_m2_eta0p496_seed25580001.csv
3,3,1,35580001,cem_tuned_qplite,seededsupervisor_pilot8_v2_m3_eta0p496_seed35580001,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_v2_m3_eta0p496_seed35580001.csv
4,2,2,25580002,pinv_bounded_wls,seededsupervisor_pilot8_v2_m2_eta0p496_seed25580002,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_v2_m2_eta0p496_seed25580002.csv
5,1,1,15580001,cem_tuned_qplite,seededsupervisor_pilot8_v2_m1_eta0p496_seed15580001,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_v2_m1_eta0p496_seed15580001.csv
6,1,2,15580002,cem_tuned_qplite,seededsupervisor_pilot8_v2_m1_eta0p496_seed15580002,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_v2_m1_eta0p496_seed15580002.csv
7,4,2,45580002,manual_opp_m2_14000,seededsupervisor_pilot8_v2_m4_eta0p496_seed45580002,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_v2_m4_eta0p496_seed45580002.csv
8,3,2,35580002,cem_tuned_qplite,seededsupervisor_pilot8_v2_m3_eta0p496_seed35580002,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_v2_m3_eta0p496_seed35580002.csv
