sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,runtime_controller,source_csv,rows,fault_z,fault_vz,contact_t,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
1,4,1,45580001,manual_opp_m2_14000,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_v2_m4_eta0p496_seed45580001.csv,4209,0.7073853611946106,-0.003991609439253807,14.404162645339966,True,0.3338564336299896,0.016143566370010354,0.019114277663565517,0.17141559720039368,0.015400035952034844,0.39520085995126847,True,True,True,True,True
2,2,1,25580001,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_v2_m2_eta0p496_seed25580001.csv,4218,0.7113561034202576,-0.0038363090716302395,15.367680549621582,True,0.331217885017395,0.018782114982604958,0.00774939426187284,0.03042914904654026,0.07607345513674785,0.027286441297444418,True,True,True,True,True
3,3,1,35580001,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_v2_m3_eta0p496_seed35580001.csv,4224,0.6924335360527039,-0.003442511660978198,13.264593124389648,True,0.32128146290779114,0.02871853709220884,0.024928595789624072,0.19536639750003815,0.022521672848186017,0.32724077839760124,True,True,True,True,True
4,2,2,25580002,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_v2_m2_eta0p496_seed25580002.csv,4176,0.7250487804412842,-0.003950389102101326,15.051070213317871,True,0.3397519290447235,0.010248070955276467,0.0074287686010628,0.03610667958855629,0.0777581384790661,0.005522431887380991,True,True,True,True,True
5,1,1,15580001,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_v2_m1_eta0p496_seed15580001.csv,4215,0.7081472873687744,-0.0039475178346037865,13.209919214248657,True,0.335972398519516,0.014027601480483987,0.020733114482525048,0.21281838417053223,0.024518937894000555,0.3147024743708649,True,True,True,True,True
6,1,2,15580002,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_v2_m1_eta0p496_seed15580002.csv,4218,0.695313036441803,-0.0037252837792038918,13.183882713317871,True,0.33245256543159485,0.01754743456840513,0.02146319477752913,0.21247780323028564,0.02431632394841483,0.31665891934573737,True,True,True,True,True
7,4,2,45580002,manual_opp_m2_14000,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_v2_m4_eta0p496_seed45580002.csv,4222,0.7134934663772583,-0.0034685747232288122,14.329738140106201,True,0.3472149074077606,0.0027850925922393577,0.02347194126631825,0.18232578039169312,0.013980747437955049,0.41367367870081695,True,True,True,True,True
8,3,2,35580002,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_v2_m3_eta0p496_seed35580002.csv,4173,0.716310441493988,-0.00393251096829772,13.049080848693848,True,0.31849583983421326,0.03150416016578672,0.02456158863632268,0.22248895466327667,0.022982933476094525,0.3149605711728199,True,True,True,True,True
