rank,parameter,nominal_ed50,minus10_ed50,minus10_delta_ed50,plus10_ed50,plus10_delta_ed50,max_abs_delta_ed50,plus_minus_span,asymmetry_sum
1,thrust_coefficient,0.49557483823654325,0.5505208554653591,0.05494601722881587,0.4501997763034482,-0.04537506193309504,0.05494601722881587,-0.10032107916191091,0.009570955295720829
2,mass,0.49557483823654325,0.44843749996499394,-0.04713733827154931,0.5453125000349762,0.049737661798432975,0.049737661798432975,0.09687500006998229,0.0026003235268836633
3,motor_time_constant,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,0.49517095386907406,-0.0004038843674691872,0.0004038843674691872,-0.0001415461659022288,-0.0006662225690361456
4,arm_length,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,0.4953956286581761,-0.00017920957836714546,0.0002623382015669584,8.312862319981296e-05,-0.0004415477799341039
5,thrust_to_torque_ratio,0.49557483823654325,0.4954857859837867,-8.90522527565718e-05,0.4953125000349763,-0.0002623382015669584,0.0002623382015669584,-0.00017328594881038661,-0.0003513904543235302
