rank,parameter,minus10_delta_ed50,plus10_delta_ed50,max_abs_delta_ed50
1,thrust_coefficient,0.05494601722881587,-0.04537506193309504,0.05494601722881587
2,mass,-0.04713733827154931,0.049737661798432975,0.049737661798432975
3,motor_time_constant,-0.0002623382015669584,-0.0004038843674691872,0.0004038843674691872
4,arm_length,-0.0002623382015669584,-0.00017920957836714546,0.0002623382015669584
5,thrust_to_torque_ratio,-8.90522527565718e-05,-0.0002623382015669584,0.0002623382015669584
