motor,controller,trial_seed,candidate,r1,r2,r3,r4,file,fault_t,contact_t,fault_to_contact_s,touchdown_vertical_speed_mps,max_motor_pwm_postfault,mean_max_motor_pwm_postfault,fraction_samples_pwm_ge_65000,mean_motor_m1,mean_motor_m2,mean_motor_m3,mean_motor_m4
1,qplite,14980012,opp_m3_10000,0,0,10000,0,qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980012.csv,10.00717544555664,12.78917360305786,2.781998157501219,0.3669350147247314,38855.0,33727.40909090909,0.0,32182.11004784689,31187.255980861242,32454.844497607657,33639.87320574163
1,cem,19980020,opp_m3_12000,0,0,12000,0,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980020.csv,10.246591091156006,13.386849403381348,3.140258312225342,0.3346583545207977,39569.0,33876.6906779661,0.0,32247.165254237287,31047.868644067796,32574.813559322032,33791.161016949154
4,qplite,44980010,opp_m2_10000,0,10000,0,0,qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980010.csv,9.825804233551024,12.964622497558594,3.13881826400757,0.3589378893375397,39297.0,33570.15677966102,0.0,31124.67161016949,32535.387711864405,33425.095338983054,32244.39194915254
4,cem,49980002,opp_m2_12000,0,12000,0,0,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980002.csv,10.08396601676941,13.644895553588867,3.560929536819458,0.3401793837547302,39821.0,33655.358878504674,0.0,31250.315887850466,32536.872897196263,33642.95514018692,32267.66542056075
