protocol_id,trial_seed,spawn_x_cmd,spawn_y_cmd,spawn_yaw_deg_cmd,fault_time_cmd,hover_z_cmd,stage1_z_cmd,post_fault_mode,eval_duration_cmd,landing_descent_rate_cmd,t,phase,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd,allocator_config,selected_candidate,r1,r2,r3,r4,qp_score,qp_predicted_vz,qp_predicted_drift,qp_predicted_tilt,fault_x,fault_y,fault_z,fault_vx,fault_vy,fault_vz,fault_roll_deg,fault_pitch_deg,fault_max_motor_pwm,tau
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.08396601676941,fault_event,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,7.525122327933786e-06,0.025807861238718,-0.0022989807184785,0.0,32756,32780,32744,32720,0.05,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.0
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176294565200806,landing_ramp,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0071467845700681,0.0029398296028375,7.56625559006352e-06,0.0582102462649345,0.0613896213471889,0.0,32756,32780,32744,32720,0.6951518347839356,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09232854843139648
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.17633843421936,landing_ramp,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0071467845700681,0.0029398296028375,7.56625559006352e-06,0.0582102462649345,0.0613896213471889,0.0,32757,32761,32743,32739,0.6951483252624512,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09237241744995117
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176362991333008,landing_ramp,0.0098207639530301,0.0102351950481534,0.7160142660140991,-0.0002635350101627,0.0002454008208587,-0.0036340868100523,0.0071467845700681,0.0029398296028375,7.56625559006352e-06,0.0582102462649345,0.0613896213471889,0.0,32757,32761,32743,32739,0.6951463606933594,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09239697456359863
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176386833190918,landing_ramp,0.0098207639530301,0.0102351950481534,0.7160142660140991,-0.0002635350101627,0.0002454008208587,-0.0036340868100523,0.0077413232065737,0.0017069251043722,7.729327990091406e-06,0.0121803674846887,0.0610348060727119,0.0,32757,32761,32743,32739,0.6951444533447266,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09242081642150879
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.17640781402588,landing_ramp,0.0098207639530301,0.0102351950481534,0.7160142660140991,-0.0002635350101627,0.0002454008208587,-0.0036340868100523,0.0077413232065737,0.0017069251043722,7.729327990091406e-06,0.0121803674846887,0.0610348060727119,0.0,32759,32761,32739,32737,0.6951427748779297,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.0924417972564715
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176429271697998,landing_ramp,0.0098119247704744,0.0102425012737512,0.715947151184082,-0.000282330205664,0.0002347739646211,-0.0037020146846771,0.0077413232065737,0.0017069251043722,7.729327990091406e-06,0.0121803674846887,0.0610348060727119,0.0,32759,32761,32739,32737,0.6951410582641602,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09246325492858887
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176448583602903,landing_ramp,0.0098119247704744,0.0102425012737512,0.715947151184082,-0.000282330205664,0.0002347739646211,-0.0037020146846771,0.0065537136979401,-0.0013857750454917,-0.0006176228635013,-6.542845249176025,6.511343479156494,-1.1729133129119873,32759,32761,32739,32737,0.6951395133117676,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09248256683349432
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176468849182127,landing_ramp,0.0098119247704744,0.0102425012737512,0.715947151184082,-0.000282330205664,0.0002347739646211,-0.0037020146846771,0.0065537136979401,-0.0013857750454917,-0.0006176228635013,-6.542845249176025,6.511343479156494,-1.1729133129119873,32558,28654,32660,18415,0.6951378920654298,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09250283241271795
seeded_ic_v1,49980002,0.01026,0.00999,0.006174,10.081355,0.702747,0.30218121,adaptive_ramp_v1,18.0,0.08,10.176489353179932,landing_ramp,0.0098069803789258,0.0102524692192673,0.7158088088035583,-0.0001855411828728,0.0003292879264336,-0.0113353999331593,0.0065537136979401,-0.0013857750454917,-0.0006176228635013,-6.542845249176025,6.511343479156494,-1.1729133129119873,32558,28654,32660,18415,0.6951362517456054,cem_tuned_boundary,opp_m2_12000,0,12000,0,0,5.73871124581079,0.3476,0.0623959863699503,0.0064084106124937,0.0098294727504253,0.010227994993329,0.7160800099372864,-0.0002342931256862,0.0002609447401482,-0.0036768701393157,0.0064084106124937,0.0032938180956989,32780.0,0.09252333641052246
