protocol_id,trial_seed,spawn_x_cmd,spawn_y_cmd,spawn_yaw_deg_cmd,fault_time_cmd,hover_z_cmd,stage1_z_cmd,post_fault_mode,eval_duration_cmd,landing_descent_rate_cmd,t,phase,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd,allocator_config,selected_candidate,r1,r2,r3,r4,qp_score,qp_predicted_vz,qp_predicted_drift,qp_predicted_tilt,fault_x,fault_y,fault_z,fault_vx,fault_vy,fault_vz,fault_roll_deg,fault_pitch_deg,fault_max_motor_pwm,tau
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.00717544555664,fault_event,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,3.370740887476131e-05,0.0633283108472824,0.0610351674258708,0.0,32758,32762,32744,32740,0.05,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.0
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099466800689695,landing_ramp,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.01060535851866,0.0099841672927141,3.3924174204003066e-05,-0.0007915252353996,0.0610351674258708,0.0,32758,32762,32744,32740,0.7071614159448242,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09229135513305486
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099548816680908,landing_ramp,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.01060535851866,0.0099841672927141,3.3924174204003066e-05,-0.0007915252353996,0.0610351674258708,0.0,32750,32752,32752,32750,0.7071548546655273,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09237337112426758
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.09961199760437,landing_ramp,0.0154685107991099,0.0244293343275785,0.7291903495788574,-5.800212238682434e-05,0.0001840780751081,-0.0038094513583928,0.01060535851866,0.0099841672927141,3.3924174204003066e-05,-0.0007915252353996,0.0610351674258708,0.0,32750,32752,32752,32750,0.7071498001916504,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09243655204772949
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099674701690674,landing_ramp,0.0154685107991099,0.0244293343275785,0.7291903495788574,-5.800212238682434e-05,0.0001840780751081,-0.0038094513583928,0.0105917369946837,0.0087634650990366,3.4149899875046685e-05,0.0028158640488982,0.0610351674258708,0.0,32750,32752,32752,32750,0.7071447838647461,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.0924992561340332
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099732875823976,landing_ramp,0.0154685107991099,0.0244293343275785,0.7291903495788574,-5.800212238682434e-05,0.0001840780751081,-0.0038094513583928,0.0105917369946837,0.0087634650990366,3.4149899875046685e-05,0.0028158640488982,0.0610351674258708,0.0,32749,32751,32751,32749,0.707140129934082,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09255743026733576
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.0997953414917,landing_ramp,0.0154691310599446,0.0244328156113624,0.7291183471679688,-7.4803399911616e-05,0.0001446101232431,-0.0038857094477862,0.0105917369946837,0.0087634650990366,3.4149899875046685e-05,0.0028158640488982,0.0610351674258708,0.0,32749,32751,32751,32749,0.7071351326806641,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.0926198959350586
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099850177764893,landing_ramp,0.0154691310599446,0.0244328156113624,0.7291183471679688,-7.4803399911616e-05,0.0001446101232431,-0.0038857094477862,0.0130919078364968,0.0056681726127862,0.0006605238304473,7.687506198883057,7.776061534881592,1.3398606777191162,32749,32751,32751,32749,0.7071307457788086,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09267473220825195
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.09992504119873,landing_ramp,0.0154691310599446,0.0244328156113624,0.7291183471679688,-7.4803399911616e-05,0.0001446101232431,-0.0038857094477862,0.0130919078364968,0.0056681726127862,0.0006605238304473,7.687506198883057,7.776061534881592,1.3398606777191162,18668,32559,28187,32623,0.7071247567041016,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09274959564208984
seeded_ic_v1,14980012,0.013423,0.0246,-1.414326,9.998972,0.715201,0.3075364299999999,adaptive_ramp_v1,18.0,0.08,10.099982023239136,landing_ramp,0.0154760675504803,0.0244286749511957,0.7289690375328064,5.5103802878875285e-05,-3.718252264661714e-05,-0.0117185739800333,0.0130919078364968,0.0056681726127862,0.0006605238304473,7.687506198883057,7.776061534881592,1.3398606777191162,18668,32559,28187,32623,0.7071201981408691,qplite_builtin,opp_m3_10000,0,0,10000,0,1.0911999999999973,0.352,0.0690429831440919,0.0112048685550689,0.0154676223173737,0.0244245212525129,0.729261577129364,-3.436757469899021e-05,0.0002184769982704,-0.0038395475130528,0.0097382431849837,0.0112048685550689,32762.0,0.09280657768249512
