motor,selected_policy,n,safe_count,unsafe_count,safe_rate,safe_rate_wilson95_lower,safe_rate_wilson95_upper,mean_vertical_speed_mps,median_vertical_speed_mps,std_vertical_speed_mps,min_vertical_speed_mps,max_vertical_speed_mps,vertical_speed_failure_count,horizontal_speed_failure_count,tilt_failure_count,angular_rate_failure_count,drift_failure_count
1,cem_tuned_qplite,30,29,1,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.3336123595635096,0.33345402777194977,0.010935496410388929,0.3020033836364746,0.36693620681762695,1,0,0,0,0
2,pinv_bounded_wls,30,30,0,1.0,0.8864866068260312,0.9999999999999999,0.3297661691904068,0.32981470227241516,0.005858564447569578,0.31851792335510254,0.340717077255249,0,0,0,0,0
3,cem_tuned_qplite,30,30,0,1.0,0.8864866068260312,0.9999999999999999,0.32719807426134745,0.3266400396823883,0.009127613481919383,0.3114178776741028,0.3466678559780121,0,0,0,0,0
4,manual_opp_m2_14000,30,24,6,0.8,0.6269430358685175,0.9049489282271013,0.3516806364059448,0.34443987905979156,0.03989170926142742,0.32653260231018066,0.5596734285354614,6,0,0,0,0
