eta,n_states,unique_winners,consensus_winner,majority_winner,majority_count,mean_winner_margin,min_winner_margin,max_winner_margin
0.496040,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02657077484572401,0.02657077484572401,0.02657077484572401
0.496041,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026547620551974127,0.026547620551974127,0.026547620551974127
0.496042,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026524466258225132,0.026524466258225132,0.026524466258225132
0.496043,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02650131196447436,0.02650131196447436,0.02650131196447436
0.496044,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02647815767072359,0.02647815767072359,0.02647815767072359
0.496045,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02645500337697282,0.02645500337697282,0.02645500337697282
0.496046,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026431849083223824,0.026431849083223824,0.026431849083223824
0.496047,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026408694789473053,0.026408694789473053,0.026408694789473053
0.496048,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02638554049572317,0.02638554049572317,0.02638554049572317
0.496049,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026362386201973287,0.026362386201973287,0.026362386201973287
0.496050,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026339231908224292,0.026339231908224292,0.026339231908224292
0.496051,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.02631607761447441,0.02631607761447441,0.02631607761447441
0.496052,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026292923320724526,0.026292923320724526,0.026292923320724526
0.496053,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026269769026973755,0.026269769026973755,0.026269769026973755
0.496054,24,1,balanced_3000_0_3000_12000,balanced_3000_0_3000_12000,24,0.026246614733223872,0.026246614733223872,0.026246614733223872
