protocol_id,ic_protocol,controller,internal_controller,motor,eta,trial_seed,source_csv,row_count,allocator_config,selected_candidate,r1,r2,r3,r4,fault_z,fault_vz,valid_prefault,contact_found,contact_t,contact_phase,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,max_angular_rate_radps,max_horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,tilt_ok,angular_rate_ok,drift_ok,safe_touchdown
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.486000,62800011,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p486_seed62800011.csv,4197,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7263222336769104,-0.003928464837372303,True,True,12.924420595169067,adaptive_brake,0.6740458011627197,0.010248728150147482,1.094935655593872,0.6772084626852998,0.02974101960649402,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.486000,62800012,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p486_seed62800012.csv,4167,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7147639393806458,-0.003776982193812728,True,True,12.685365200042725,adaptive_brake,0.6683310866355896,0.010097556687639925,1.0897666215896606,0.6860530072589947,0.028820268670210144,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800001,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800001.csv,4212,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.6952136754989624,-0.00347120757214725,True,True,13.225660562515259,adaptive_brake,0.6029642820358276,0.009700755449309555,0.7162994146347046,0.6143312891438583,0.02697329019698763,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800002,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800002.csv,4233,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7013213038444519,-0.0038052357267588377,True,True,13.343944549560547,adaptive_brake,0.6034775376319885,0.00959737091336652,0.8276744484901428,0.6238248590849831,0.027930441412643954,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800003,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800003.csv,4167,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7267966866493225,-0.004076263401657343,True,True,12.944751262664795,adaptive_brake,0.6166939735412598,0.010847897899487514,0.716270387172699,0.6124857773435628,0.025622427171143564,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800004,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800004.csv,4209,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7295273542404175,-0.003744180081412196,True,True,13.244609117507935,adaptive_brake,0.6234138011932373,0.011056628253893095,0.8188585042953491,0.6263495320804733,0.027516235111797703,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800005,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800005.csv,4227,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.717540979385376,-0.003663176903501153,True,True,13.34586501121521,adaptive_brake,0.6070481538772583,0.009773212534641418,0.6776195168495178,0.6020590111101337,0.02794649627619753,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800006,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800006.csv,4230,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7043700814247131,-0.0036491479258984327,True,True,13.326366424560547,adaptive_brake,0.6046399474143982,0.01004801288576935,0.7150667905807495,0.613717401069265,0.025942785999857717,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800007,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800007.csv,4158,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7039472460746765,-0.00409321766346693,True,True,12.844003438949585,adaptive_brake,0.6101376414299011,0.010599024977681185,0.779559850692749,0.6222813709163599,0.025137354939102432,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800008,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800008.csv,4191,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.6998557448387146,-0.0036538850981742144,True,True,13.065004110336304,adaptive_brake,0.6053050756454468,0.010069896343044235,0.7020764946937561,0.6113379902877013,0.02558841287986916,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800009,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800009.csv,4158,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7238810062408447,-0.004026932641863823,True,True,12.885753631591797,adaptive_brake,0.6138739585876465,0.010529479613613965,0.7020232081413269,0.6094428996196846,0.026843479765910883,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800010,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800010.csv,4206,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7125855684280396,-0.003730632597580552,True,True,13.169569253921509,adaptive_brake,0.6095911860466003,0.01059848695034759,0.7393280863761902,0.6182223009146359,0.025120409246103103,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800011,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800011.csv,4197,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.726288914680481,-0.0038134963251650333,True,True,13.146643161773682,adaptive_brake,0.6085038781166077,0.010137220829687554,0.696014940738678,0.6049360715384127,0.027174493000489307,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.488000,62800012,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p488_seed62800012.csv,4167,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7148020267486572,-0.00410318560898304,True,True,12.951505899429321,adaptive_brake,0.6076323986053467,0.0101181971303627,0.7000860571861267,0.6105425093034407,0.026766544981278558,False,True,True,True,True,False
nominal_m2_boundary_localization_v1,seeded_ic_v1,pinv,pinv,2,0.490000,62800001,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/nominal_m2_boundary/localization/trials/nominal_m2loc_pinv_eta0p490_seed62800001.csv,4212,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.695199191570282,-0.003664508229121566,True,True,13.485738277435303,adaptive_brake,0.5395262837409973,0.009084226694439767,0.2558456063270569,0.537218347948646,0.024500844989507976,False,True,True,True,True,False
