eta,trial_seed,winner,winner_score,runner_up,runner_up_score,winner_margin,logged_score,replay_error
0.496000,62800001,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800002,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800003,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800004,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800005,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800006,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800007,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800008,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800009,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800010,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800011,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.496000,62800012,balanced_3000_0_3000_12000,4.956234833552265,balanced_2500_0_2500_12000,4.983731780147988,0.027496946595722882,4.956234833552265,0.0
0.497000,62800001,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800002,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800003,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800004,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800005,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
0.497000,62800006,balanced_3000_0_3000_12000,2.5794179441531835,balanced_2500_0_2500_12000,2.5837605969989155,0.004342652845731987,2.5794179441531835,0.0
