eta,trial_seed,logged_winner,rank,candidate,r1,r2,r3,r4,score,margin_to_winner,predicted_vz,predicted_drift,predicted_tilt,vertical_violation,hard_vertical_violation,vertical_penalty,hard_vertical_penalty,drift_penalty,tilt_penalty,effort_penalty,reference_penalty,support_penalty,saturation_penalty,motor2_overboost_penalty,fault_z,fault_vz,fault_roll_deg,fault_pitch_deg,fault_angular_rate_radps,fault_max_motor_pwm
0.496000,62800001,balanced_3000_0_3000_12000,1,balanced_3000_0_3000_12000,3000,0,3000,12000,4.956234833552265,0.0,0.3467,0.11274984389825853,0.041994459148496394,0.018397685511787498,0.0,4.353969828622146,0.0,0.0,0.0,0.5570160811369305,0.024869140529703883,0.020379783263483157,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,2,balanced_2500_0_2500_12000,2500,0,2500,12000,4.983731780147988,0.027496946595722882,0.34685000000000005,0.10874984389825852,0.03599445914849639,0.018547685511787537,0.0,4.42525682640401,0.0,0.0,0.0,0.5381050413452445,0.006217285132425971,0.01415262726630775,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,3,balanced_2000_0_2000_12000,2000,0,2000,12000,5.028812735404809,0.07257790185254454,0.34700000000000003,0.10474984389825853,0.02999445914849639,0.01869768551178752,0.0,4.497122681529598,0.0,0.0,0.0,0.5226323724247742,0.0,0.009057681450436958,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,4,balanced_1000_0_1000_12000,1000,0,1000,12000,5.171726671901816,0.21549183834955077,0.3473,0.09674984389825853,0.01799445914849639,0.018997685511787488,0.0,4.6425909638120215,0.0,0.0,0.0,0.5020021471974805,0.024869140529703883,0.0022644203626092396,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,5,opp_m4_12000,0,0,0,12000,5.384976643043336,0.4287418094910711,0.3476,0.08874984389825853,0.005994459148496389,0.01929768551178751,0.0,4.790374675469471,0.0,0.0,0.0,0.4951254054550493,0.09947656211881553,0.0,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,6,opp_m4_11000,0,0,0,11000,6.472825132994178,1.516590299441913,0.3498,0.08474984389825853,0.005994459148496389,0.02149768551178749,0.0,5.94487112519342,0.0,0.0,0.0,0.41604287541709,0.11191113238366747,0.0,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,7,opp_m4_10000,0,0,0,10000,7.7174630724277336,2.7612282388754688,0.352,0.08074984389825854,0.005994459148496389,0.02369768551178747,0.00026270317401877463,7.2238862213061905,0.0005249208217581277,0.0,0.0,0.343837087121562,0.1492148431782233,0.0,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800001,balanced_3000_0_3000_12000,8,zero,0,0,0,0,32.52242298496042,27.566188151408156,0.374,0.04074984389825853,0.005994459148496389,0.04569768551178749,0.022262703174018794,26.862562733819363,3.7698055708835665,0.0,0.0,0.0,1.8900546802574951,0.0,0.0,0.0,0.6952124834060669,-0.003823530860245228,-0.005994459148496389,0.004710167180746794,0.001065267295194425,32756.0
0.496000,62800002,balanced_3000_0_3000_12000,1,balanced_3000_0_3000_12000,3000,0,3000,12000,4.956234833552265,0.0,0.3467,0.0918295537187277,0.04490194904059172,0.018397685511787498,0.0,4.353969828622146,0.0,0.0,0.0,0.5570160811369305,0.024869140529703883,0.020379783263483157,0.0,0.0,0.7014108300209045,-0.0034007749054580927,-0.002306385198608041,-0.008901949040591717,0.0010652630056229068,32750.0
0.496000,62800002,balanced_3000_0_3000_12000,2,balanced_2500_0_2500_12000,2500,0,2500,12000,4.983731780147988,0.027496946595722882,0.34685000000000005,0.0878295537187277,0.038901949040591716,0.018547685511787537,0.0,4.42525682640401,0.0,0.0,0.0,0.5381050413452445,0.006217285132425971,0.01415262726630775,0.0,0.0,0.7014108300209045,-0.0034007749054580927,-0.002306385198608041,-0.008901949040591717,0.0010652630056229068,32750.0
