row_index,firmware_timestamp_ms,firmware_active_mask,reference_active_mask,max_abs_pwm_difference,nominal_m1,firmware_m1,reference_m1,abs_difference_m1,nominal_m2,firmware_m2,reference_m2,abs_difference_m2,nominal_m3,firmware_m3,reference_m3,abs_difference_m3,nominal_m4,firmware_m4,reference_m4,abs_difference_m4
0,17189,4,4,0.0,32801.0,32503.0,32503.0,0.0,32661.0,32958.0,32958.0,0.0,32853.0,65535.0,65535.0,0.0,32645.0,32942.0,32942.0,0.0
1,17209,4,4,0.0,32849.0,32503.0,32503.0,0.0,32615.0,32960.0,32960.0,0.0,32909.0,65535.0,65535.0,0.0,32595.0,32940.0,32940.0,0.0
2,17229,4,4,0.0,32903.0,32497.0,32497.0,0.0,32549.0,32954.0,32954.0,0.0,32979.0,65535.0,65535.0,0.0,32549.0,32954.0,32954.0,0.0
3,17249,4,4,0.0,32953.0,32478.0,32478.0,0.0,32521.0,32995.0,32995.0,0.0,33059.0,65535.0,65535.0,0.0,32467.0,32941.0,32941.0,0.0
4,17269,4,4,0.0,33024.0,32483.0,32483.0,0.0,32452.0,32992.0,32992.0,0.0,33136.0,65535.0,65535.0,0.0,32404.0,32944.0,32944.0,0.0
5,17290,4,4,0.0,33104.0,32494.0,32494.0,0.0,32376.0,32985.0,32985.0,0.0,33216.0,65535.0,65535.0,0.0,32336.0,32945.0,32945.0,0.0
6,17310,4,4,0.0,33173.0,32492.0,32492.0,0.0,32315.0,32995.0,32995.0,0.0,33299.0,65535.0,65535.0,0.0,32241.0,32921.0,32921.0,0.0
7,17329,4,4,0.0,33242.0,32471.0,32471.0,0.0,32236.0,33006.0,33006.0,0.0,33404.0,65535.0,65535.0,0.0,32162.0,32932.0,32932.0,0.0
8,17349,4,4,0.0,33341.0,32497.0,32497.0,0.0,32165.0,33008.0,33008.0,0.0,33489.0,65535.0,65535.0,0.0,32065.0,32908.0,32908.0,0.0
9,17369,4,4,0.0,33429.0,32491.0,32491.0,0.0,32061.0,32998.0,32998.0,0.0,33599.0,65535.0,65535.0,0.0,31999.0,32936.0,32936.0,0.0
10,17389,4,4,0.0,33513.0,32483.0,32483.0,0.0,31993.0,33022.0,33022.0,0.0,33707.0,65535.0,65535.0,0.0,31883.0,32912.0,32912.0,0.0
11,17409,4,4,0.0,33628.0,32502.0,32502.0,0.0,31872.0,32997.0,32997.0,0.0,33818.0,65535.0,65535.0,0.0,31810.0,32935.0,32935.0,0.0
