host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
2.612839070992777,12109,settle,0.0,0.0,0.0,0.0,0.0
2.6328319530002773,12129,settle,0.0,0.0,0.0,0.0,0.0
2.652900654997211,12149,settle,0.0,0.0,0.0,0.0,0.0
2.672948007006198,12169,settle,0.0,0.0,0.0,0.0,0.0
2.6928722530137748,12189,settle,0.0,0.0,0.0,0.0,0.0
2.71310007001739,12209,settle,0.0,0.0,0.0,0.0,0.0
2.7328969679947477,12229,settle,0.0,0.0,0.0,0.0,0.0
2.7528467919910327,12249,settle,0.0,0.0,0.0,0.0,0.0
2.772841079015052,12269,settle,0.0,0.0,0.0,0.0,0.0
2.7928743789962027,12289,settle,0.0,0.0,0.0,0.0,0.0
2.813510056992527,12309,settle,0.0,0.0,0.0,0.0,0.0
2.832964235014515,12329,settle,0.0,0.0,0.0,0.0,0.0
2.853594767017057,12349,settle,0.0,0.0,0.0,0.0,0.0
2.873443666001549,12369,settle,0.0,0.0,0.0,0.0,0.0
2.893572225002572,12389,settle,0.0,0.0,0.0,0.0,0.0
2.9148268470016774,12411,settle,0.0,0.0,0.0,0.0,0.0
2.9336016900197137,12429,settle,0.0,0.0,0.0,0.0,0.0
2.9535070359997917,12449,settle,0.0,0.0,0.0,0.0,0.0
2.9737429759989027,12469,settle,0.0,0.0,0.0,0.0,0.0
2.9935198689927347,12489,settle,0.0,0.0,0.0,0.0,0.0
3.0142811269906815,12510,settle,0.0,0.0,0.0,0.0,0.0
3.0344946930126753,12530,settle,0.0,0.0,0.0,0.0,0.0
3.054438012011815,12550,settle,0.0,0.0,0.0,0.0,0.0
3.0744731519953348,12570,settle,0.0,0.0,0.0,0.0,0.0
3.0945655349933077,12590,settle,0.0,0.0,0.0,0.0,0.0
3.1145287670078687,12610,settle,0.0,0.0,0.0,0.0,0.0
3.1339801580179483,12630,settle,0.0,0.0,0.0,0.0,0.0
3.1538953029958066,12650,settle,0.0,0.0,0.0,0.0,0.0
3.1729355230054352,12669,settle,0.0,0.0,0.0,0.0,0.0
3.1928965210099705,12689,settle,0.0,0.0,0.0,0.0,0.0
3.2128955200023483,12709,settle,0.0,0.0,0.0,0.0,0.0
3.232870059000561,12729,settle,0.0,0.0,0.0,0.0,0.0
3.2527700530190486,12749,settle,0.0,0.0,0.0,0.0,0.0
3.2728621989954263,12769,settle,0.0,0.0,0.0,0.0,0.0
3.29292965400964,12789,settle,0.0,0.0,0.0,0.0,0.0
3.3129851010162383,12809,settle,0.0,0.0,0.0,0.0,0.0
3.3328890910197515,12829,settle,0.0,0.0,0.0,0.0,0.0
3.3530439599999227,12849,settle,0.0,0.0,0.0,0.0,0.0
3.373937416996341,12870,settle,0.0,0.0,0.0,0.0,0.0
3.3939327800180763,12890,settle,0.0,0.0,0.0,0.0,0.0
3.413881954009412,12910,settle,0.0,0.0,0.0,0.0,0.0
3.4338771640032064,12930,settle,0.0,0.0,0.0,0.0,0.0
