row_index,firmware_timestamp_ms,firmware_active_mask,reference_active_mask,max_abs_pwm_difference,nominal_m1,firmware_m1,reference_m1,abs_difference_m1,nominal_m2,firmware_m2,reference_m2,abs_difference_m2,nominal_m3,firmware_m3,reference_m3,abs_difference_m3,nominal_m4,firmware_m4,reference_m4,abs_difference_m4
0,14376,8,8,0.0,32650.0,32959.0,32959.0,0.0,32798.0,32488.0,32488.0,0.0,32650.0,32959.0,32959.0,0.0,32866.0,65535.0,65535.0,0.0
1,14396,8,8,0.0,32588.0,32950.0,32950.0,0.0,32834.0,32471.0,32471.0,0.0,32602.0,32964.0,32964.0,0.0,32928.0,65535.0,65535.0,0.0
2,14416,8,8,0.0,32528.0,32941.0,32941.0,0.0,32912.0,32498.0,32498.0,0.0,32552.0,32965.0,32965.0,0.0,32988.0,65535.0,65535.0,0.0
3,14437,8,8,0.0,32472.0,32969.0,32969.0,0.0,32958.0,32460.0,32460.0,0.0,32492.0,32989.0,32989.0,0.0,33086.0,65535.0,65535.0,0.0
4,14457,8,8,0.0,32391.0,32975.0,32975.0,0.0,33015.0,32430.0,32430.0,0.0,32439.0,33023.0,33023.0,0.0,33187.0,65535.0,65535.0,0.0
5,14477,8,8,0.0,32340.0,32998.0,32998.0,0.0,33092.0,32433.0,32433.0,0.0,32346.0,33004.0,33004.0,0.0,33274.0,65535.0,65535.0,0.0
6,14497,8,8,0.0,32250.0,32989.0,32989.0,0.0,33178.0,32438.0,32438.0,0.0,32272.0,33011.0,33011.0,0.0,33368.0,65535.0,65535.0,0.0
7,14517,8,8,0.0,32175.0,33012.0,33012.0,0.0,33249.0,32411.0,32411.0,0.0,32177.0,33014.0,33014.0,0.0,33483.0,65535.0,65535.0,0.0
8,14537,8,8,0.0,32065.0,32997.0,32997.0,0.0,33339.0,32406.0,32406.0,0.0,32107.0,33039.0,33039.0,0.0,33593.0,65535.0,65535.0,0.0
9,14557,8,8,0.0,31971.0,32992.0,32992.0,0.0,33435.0,32413.0,32413.0,0.0,31997.0,33018.0,33018.0,0.0,33697.0,65535.0,65535.0,0.0
10,14576,8,8,0.0,31840.0,32968.0,32968.0,0.0,33534.0,32405.0,32405.0,0.0,31916.0,33044.0,33044.0,0.0,33822.0,65535.0,65535.0,0.0
11,14596,8,8,0.0,31745.0,32996.0,32996.0,0.0,33641.0,32389.0,32389.0,0.0,31785.0,33036.0,33036.0,0.0,33965.0,65535.0,65535.0,0.0
12,14616,8,8,0.0,31616.0,32979.0,32979.0,0.0,33762.0,32398.0,32398.0,0.0,31682.0,33045.0,33045.0,0.0,34096.0,65535.0,65535.0,0.0
13,14636,8,8,0.0,31492.0,32978.0,32978.0,0.0,33892.0,32405.0,32405.0,0.0,31556.0,33042.0,33042.0,0.0,34240.0,65535.0,65535.0,0.0
