host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
2.6534280960040633,9296,settle,0.0,0.0,0.0,0.0,0.0
2.6735211930063087,9316,settle,0.0,0.0,0.0,0.0,0.0
2.6936880910070613,9336,settle,0.0,0.0,0.0,0.0,0.0
2.7137927410076372,9356,settle,0.0,0.0,0.0,0.0,0.0
2.7339812990103383,9376,settle,0.0,0.0,0.0,0.0,0.0
2.754268849006621,9396,settle,0.0,0.0,0.0,0.0,0.0
2.773781591997249,9416,settle,0.0,0.0,0.0,0.0,0.0
2.793738366017351,9436,settle,0.0,0.0,0.0,0.0,0.0
2.813743268023245,9456,settle,0.0,0.0,0.0,0.0,0.0
2.833661942015169,9476,settle,0.0,0.0,0.0,0.0,0.0
2.8566130860126577,9499,settle,0.0,0.0,0.0,0.0,0.0
2.8748556350183208,9517,settle,0.0,0.0,0.0,0.0,0.0
2.894769760023337,9537,settle,0.0,0.0,0.0,0.0,0.0
2.914861280005425,9557,settle,0.0,0.0,0.0,0.0,0.0
2.934934354998404,9577,settle,0.0,0.0,0.0,0.0,0.0
2.954846965003526,9597,settle,0.0,0.0,0.0,0.0,0.0
2.9743255760113243,9617,settle,0.0,0.0,0.0,0.0,0.0
2.9943041680089664,9637,settle,0.0,0.0,0.0,0.0,0.0
3.01435324101476,9657,settle,0.0,0.0,0.0,0.0,0.0
3.034919082012493,9677,settle,0.0,0.0,0.0,0.0,0.0
3.0547007319983095,9697,settle,0.0,0.0,0.0,0.0,0.0
3.0743148460169323,9717,settle,0.0,0.0,0.0,0.0,0.0
3.094339080998907,9737,settle,0.0,0.0,0.0,0.0,0.0
3.1143922799965367,9757,settle,0.0,0.0,0.0,0.0,0.0
3.134517140017124,9777,settle,0.0,0.0,0.0,0.0,0.0
3.154436409007758,9797,settle,0.0,0.0,0.0,0.0,0.0
3.1743176500021946,9817,settle,0.0,0.0,0.0,0.0,0.0
3.1942862220166717,9837,settle,0.0,0.0,0.0,0.0,0.0
3.214298350008903,9857,settle,0.0,0.0,0.0,0.0,0.0
3.2343950520153157,9877,settle,0.0,0.0,0.0,0.0,0.0
3.255092819017591,9897,settle,0.0,0.0,0.0,0.0,0.0
3.2749315740074962,9917,settle,0.0,0.0,0.0,0.0,0.0
3.2949132040084805,9937,settle,0.0,0.0,0.0,0.0,0.0
3.314320912002586,9957,settle,0.0,0.0,0.0,0.0,0.0
3.335022511018906,9977,settle,0.0,0.0,0.0,0.0,0.0
3.356052490998991,9997,settle,0.0,0.0,0.0,0.0,0.0
3.3733306160138454,10016,settle,0.0,0.0,0.0,0.0,0.0
3.3938654380035587,10036,settle,0.0,0.0,0.0,0.0,0.0
3.413277873012703,10056,settle,0.0,0.0,0.0,0.0,0.0
3.433562632999383,10076,settle,0.0,0.0,0.0,0.0,0.0
