host_time_s,firmware_timestamp_ms,phase,pinvAlloc.nom1,pinvAlloc.nom2,pinvAlloc.nom3,pinvAlloc.nom4,pinvAlloc.alloc1,pinvAlloc.alloc2,pinvAlloc.alloc3,pinvAlloc.alloc4,pinvAlloc.active
2.6533725120243616,9296,settle,42922,42922,42922,42922,42922,42922,42922,42922,0
2.6734513670089655,9316,settle,43037,43037,43037,43037,43037,43037,43037,43037,0
2.6936367640155368,9336,settle,42622,42622,42622,42622,42622,42622,42622,42622,0
2.713688187999651,9356,settle,41331,41331,41331,41331,41331,41331,41331,41331,0
2.7339245330076665,9376,settle,39828,39828,39828,39828,39828,39828,39828,39828,0
2.7541679260029923,9396,settle,39073,39073,39073,39073,39073,39073,39073,39073,0
2.7737310620141216,9416,settle,37619,37619,37619,37619,37619,37619,37619,37619,0
2.793687146011507,9436,settle,36242,36242,36242,36242,36242,36242,36242,36242,0
2.8136906099971384,9456,settle,34983,34983,34983,34983,34983,34983,34983,34983,0
2.8336166000226513,9476,settle,33907,33907,33907,33907,33907,33907,33907,33907,0
2.8565628210199066,9499,settle,32436,32436,32436,32436,32436,32436,32436,32436,0
2.874805733008543,9517,settle,31776,31776,31776,31776,31776,31776,31776,31776,0
2.894710288004717,9537,settle,31278,31278,31278,31278,31278,31278,31278,31278,0
2.914805095002521,9557,settle,30915,30915,30915,30915,30915,30915,30915,30915,0
2.9349069080199115,9577,settle,30769,30769,30769,30769,30769,30769,30769,30769,0
2.95475952301058,9597,settle,30574,30574,30574,30574,30574,30574,30574,30574,0
2.974257274006959,9617,settle,30450,30450,30450,30450,30450,30450,30450,30450,0
2.994236800004728,9637,settle,30383,30383,30383,30383,30383,30383,30383,30383,0
3.0142810000106692,9657,settle,30367,30367,30367,30367,30367,30367,30367,30367,0
3.034853593009757,9677,settle,30390,30390,30390,30390,30390,30390,30390,30390,0
3.0546385510242544,9697,settle,30443,30443,30443,30443,30443,30443,30443,30443,0
3.0742641859978903,9717,settle,30524,30524,30524,30524,30524,30524,30524,30524,0
3.094277541997144,9737,settle,30602,30602,30602,30602,30602,30602,30602,30602,0
3.114343456021743,9757,settle,30752,30752,30752,30752,30752,30752,30752,30752,0
3.134455485007493,9777,settle,30827,30827,30827,30827,30827,30827,30827,30827,0
3.154384305002168,9797,settle,30945,30945,30945,30945,30945,30945,30945,30945,0
3.174263629014604,9817,settle,31026,31026,31026,31026,31026,31026,31026,31026,0
3.1942334370105527,9837,settle,31036,31036,31036,31036,31036,31036,31036,31036,0
3.2142483170027845,9857,settle,31121,31121,31121,31121,31121,31121,31121,31121,0
3.2343687250104267,9877,settle,31197,31197,31197,31197,31197,31197,31197,31197,0
3.2550191229966003,9897,settle,31269,31269,31269,31269,31269,31269,31269,31269,0
3.274864022998372,9917,settle,31322,31322,31322,31322,31322,31322,31322,31322,0
3.2948487140238285,9937,settle,31366,31366,31366,31366,31366,31366,31366,31366,0
3.3142962920246646,9957,settle,31417,31417,31417,31417,31417,31417,31417,31417,0
3.334952360019088,9977,settle,31459,31459,31459,31459,31459,31459,31459,31459,0
3.3551285230205394,9997,settle,31484,31484,31484,31484,31484,31484,31484,31484,0
3.37327862001257,10016,settle,31463,31463,31463,31463,31463,31463,31463,31463,0
3.393813853006577,10036,settle,31511,31511,31511,31511,31511,31511,31511,31511,0
3.4132233830168843,10056,settle,31536,31536,31536,31536,31536,31536,31536,31536,0
3.4334279220202006,10076,settle,31573,31573,31573,31573,31573,31573,31573,31573,0
3.4544255240180064,10097,settle,31619,31619,31619,31619,31619,31619,31619,31619,0
3.474246343015693,10117,settle,31668,31668,31668,31668,31668,31668,31668,31668,0
3.494329209002899,10137,settle,31712,31712,31712,31712,31712,31712,31712,31712,0
3.5132239680096973,10156,settle,31760,31760,31760,31760,31760,31760,31760,31760,0
3.5334698850056157,10176,settle,31804,31804,31804,31804,31804,31804,31804,31804,0
3.5532889980240725,10196,settle,31847,31847,31847,31847,31847,31847,31847,31847,0
3.5732738689985126,10216,settle,31845,31845,31845,31845,31845,31845,31845,31845,0
3.5932599660009146,10236,settle,31883,31883,31883,31883,31883,31883,31883,31883,0
3.613227727008052,10256,settle,31931,31931,31931,31931,31931,31931,31931,31931,0
3.6336426900234073,10276,settle,31976,31976,31976,31976,31976,31976,31976,31976,0
3.6539250790083315,10296,takeoff,32044,32044,32044,32044,32044,32044,32044,32044,0
3.673815957008628,10316,takeoff,32276,32276,32276,32276,32276,32276,32276,32276,0
3.6932262490154244,10336,takeoff,32505,32505,32505,32505,32505,32505,32505,32505,0
3.7147501569997985,10357,takeoff,32721,32721,32721,32721,32721,32721,32721,32721,0
3.7352890390029643,10378,takeoff,32910,32910,32910,32910,32910,32910,32910,32910,0
3.7538582470151596,10396,takeoff,33063,33063,33063,33063,33063,33063,33063,33063,0
3.7738053550128825,10416,takeoff,33202,33202,33202,33202,33202,33202,33202,33202,0
3.793800347018987,10436,takeoff,33320,33320,33320,33320,33320,33320,33320,33320,0
3.81374731901451,10456,takeoff,33412,33412,33412,33412,33412,33412,33412,33412,0
3.8332292790000793,10476,takeoff,33483,33483,33483,33483,33483,33483,33483,33483,0
3.8535329930018634,10496,takeoff,33351,33351,33351,33351,33351,33351,33351,33351,0
3.873449945996981,10516,takeoff,33386,33386,33386,33386,33386,33386,33386,33386,0
3.8932583930145483,10536,takeoff,33525,33525,33525,33525,33525,33525,33525,33525,0
3.9170029520173557,10559,takeoff,33539,33539,33539,33539,33539,33539,33539,33539,0
3.934442639001645,10577,takeoff,33556,33556,33556,33556,33556,33556,33556,33556,0
3.954322361998493,10597,takeoff,33564,33564,33564,33564,33564,33564,33564,33564,0
3.9742635000147857,10617,takeoff,33568,33568,33568,33568,33568,33568,33568,33568,0
3.994233235018328,10637,takeoff,33565,33565,33565,33565,33565,33565,33565,33565,0
4.014186019019689,10657,takeoff,33646,33646,33646,33646,33646,33646,33646,33646,0
4.034424672019668,10677,takeoff,33455,33455,33455,33455,33455,33455,33455,33455,0
4.05445526400581,10697,takeoff,33435,33435,33435,33435,33435,33435,33435,33435,0
4.074306099006208,10717,takeoff,33415,33415,33415,33415,33415,33415,33415,33415,0
4.094259166013217,10737,takeoff,33400,33400,33400,33400,33400,33400,33400,33400,0
4.114196893002372,10757,takeoff,33469,33469,33469,33469,33469,33469,33469,33469,0
4.13342999300221,10776,takeoff,33359,33359,33359,33359,33359,33359,33359,33359,0
4.153691148007056,10796,takeoff,33427,33427,33427,33427,33427,33427,33427,33427,0
4.173204050021013,10816,takeoff,33414,33414,33414,33414,33414,33414,33414,33414,0
4.193288095004391,10836,takeoff,33400,33400,33400,33400,33400,33400,33400,33400,0
4.214270791999297,10857,takeoff,33190,33190,33190,33190,33190,33190,33190,33190,0
4.234324293996906,10877,takeoff,33277,33277,33277,33277,33277,33277,33277,33277,0
4.2542518569971435,10897,takeoff,33267,33267,33267,33267,33267,33267,33267,33267,0
4.2743299230060074,10917,takeoff,33254,33254,33254,33254,33254,33254,33254,33254,0
4.294305779010756,10937,takeoff,33241,33241,33241,33241,33241,33241,33241,33241,0
4.313226123020286,10956,takeoff,33236,33236,33236,33236,33236,33236,33236,33236,0
4.333422691997839,10976,takeoff,33207,33207,33207,33207,33207,33207,33207,33207,0
4.353470002009999,10996,takeoff,33187,33187,33187,33187,33187,33187,33187,33187,0
4.373273900011554,11016,takeoff,33166,33166,33166,33166,33166,33166,33166,33166,0
4.395932587009156,11036,takeoff,33228,33228,33228,33228,33228,33228,33228,33228,0
4.416079975024331,11056,takeoff,33203,33203,33203,33203,33203,33203,33203,33203,0
4.435323808022076,11076,takeoff,33183,33183,33183,33183,33183,33183,33183,33183,0
4.455359968997072,11096,takeoff,33083,33083,33083,33083,33083,33083,33083,33083,0
4.475287467008457,11116,takeoff,33064,33064,33064,33064,33064,33064,33064,33064,0
4.4952515000186395,11136,takeoff,33048,33048,33048,33048,33048,33048,33048,33048,0
4.5152987760084216,11156,takeoff,33029,33029,33029,33029,33029,33029,33029,33029,0
4.536418638017494,11177,takeoff,33001,33001,33001,33001,33001,33001,33001,33001,0
4.5563472880166955,11197,takeoff,32989,32989,32989,32989,32989,32989,32989,32989,0
4.576258529996267,11217,takeoff,32977,32977,32977,32977,32977,32977,32977,32977,0
4.5963163140113465,11237,takeoff,32961,32961,32961,32961,32961,32961,32961,32961,0
4.616304585011676,11257,takeoff,32949,32949,32949,32949,32949,32949,32949,32949,0
4.636573571013287,11277,takeoff,32938,32938,32938,32938,32938,32938,32938,32938,0
4.656871951010544,11297,takeoff,32925,32925,32925,32925,32925,32925,32925,32925,0
4.676883234002162,11317,takeoff,32858,32858,32858,32858,32858,32858,32858,32858,0
4.695793049002532,11336,takeoff,32941,32941,32941,32941,32941,32941,32941,32941,0
4.715847854997264,11356,takeoff,32932,32932,32932,32932,32932,32932,32932,32932,0
4.7354759110021405,11376,takeoff,32918,32918,32918,32918,32918,32918,32918,32918,0
4.755406519019743,11396,takeoff,32901,32901,32901,32901,32901,32901,32901,32901,0
4.7768042370153125,11417,takeoff,32901,32901,32901,32901,32901,32901,32901,32901,0
4.796829124999931,11437,takeoff,32871,32871,32871,32871,32871,32871,32871,32871,0
4.817053692997433,11457,takeoff,32857,32857,32857,32857,32857,32857,32857,32857,0
4.836856149020605,11477,takeoff,32843,32843,32843,32843,32843,32843,32843,32843,0
4.856333475996507,11497,takeoff,32830,32830,32830,32830,32830,32830,32830,32830,0
4.875263341004029,11516,takeoff,32932,32932,32932,32932,32932,32932,32932,32932,0
4.895233122020727,11536,takeoff,32914,32914,32914,32914,32914,32914,32914,32914,0
4.9152585030242335,11556,takeoff,32913,32913,32913,32913,32913,32913,32913,32913,0
4.936282288021175,11577,takeoff,32801,32801,32801,32801,32801,32801,32801,32801,0
4.956258363003144,11597,takeoff,32798,32798,32798,32798,32798,32798,32798,32798,0
4.975249351002276,11616,takeoff,32786,32786,32786,32786,32786,32786,32786,32786,0
4.995235877024243,11636,takeoff,32781,32781,32781,32781,32781,32781,32781,32781,0
5.0152300570043735,11656,takeoff,32781,32781,32781,32781,32781,32781,32781,32781,0
5.035472826013574,11676,takeoff,32782,32782,32782,32782,32782,32782,32782,32782,0
5.055309204006335,11696,takeoff,32873,32873,32873,32873,32873,32873,32873,32873,0
5.075265218009008,11716,takeoff,32870,32870,32870,32870,32870,32870,32870,32870,0
5.095844465016853,11736,takeoff,32872,32872,32872,32872,32872,32872,32872,32872,0
5.115266953012906,11756,takeoff,32866,32866,32866,32866,32866,32866,32866,32866,0
5.136246522015426,11777,takeoff,32858,32858,32858,32858,32858,32858,32858,32858,0
5.156823686003918,11797,takeoff,32841,32841,32841,32841,32841,32841,32841,32841,0
5.176249097014079,11817,takeoff,32745,32745,32745,32745,32745,32745,32745,32745,0
5.196849102008855,11837,takeoff,32737,32737,32737,32737,32737,32737,32737,32737,0
5.21688863899908,11857,takeoff,32734,32734,32734,32734,32734,32734,32734,32734,0
5.235535367013654,11876,takeoff,32731,32731,32731,32731,32731,32731,32731,32731,0
5.256875218998175,11897,takeoff,32809,32809,32809,32809,32809,32809,32809,32809,0
5.276822305022506,11917,takeoff,32820,32820,32820,32820,32820,32820,32820,32820,0
5.296805386024062,11937,takeoff,32835,32835,32835,32835,32835,32835,32835,32835,0
5.316927302017575,11957,takeoff,32843,32843,32843,32843,32843,32843,32843,32843,0
5.337981801014394,11978,takeoff,32844,32844,32844,32844,32844,32844,32844,32844,0
5.357027054007631,11997,takeoff,32834,32834,32834,32834,32834,32834,32834,32834,0
5.376892344007501,12017,takeoff,32831,32831,32831,32831,32831,32831,32831,32831,0
5.396987932006596,12037,takeoff,32740,32740,32740,32740,32740,32740,32740,32740,0
5.417222862015478,12057,takeoff,32741,32741,32741,32741,32741,32741,32741,32741,0
5.436401965009281,12077,takeoff,32835,32835,32835,32835,32835,32835,32835,32835,0
5.4554752109979745,12096,takeoff,32825,32825,32825,32825,32825,32825,32825,32825,0
5.475252926000394,12116,takeoff,32823,32823,32823,32823,32823,32823,32823,32823,0
5.495237885013921,12136,takeoff,32827,32827,32827,32827,32827,32827,32827,32827,0
5.515254894999089,12156,takeoff,32823,32823,32823,32823,32823,32823,32823,32823,0
5.535360583016882,12176,takeoff,32817,32817,32817,32817,32817,32817,32817,32817,0
5.55530097000883,12196,takeoff,32810,32810,32810,32810,32810,32810,32810,32810,0
5.5762250410043634,12217,takeoff,32802,32802,32802,32802,32802,32802,32802,32802,0
5.5962129260005895,12237,takeoff,32786,32786,32786,32786,32786,32786,32786,32786,0
5.616241617011838,12257,takeoff,32602,32602,32602,32602,32602,32602,32602,32602,0
5.636393637018045,12277,takeoff,32602,32602,32602,32602,32602,32602,32602,32602,0
5.656283513002563,12297,takeoff,32793,32793,32793,32793,32793,32793,32793,32793,0
5.676262248016428,12317,takeoff,32799,32799,32799,32799,32799,32799,32799,32799,0
5.696190488000866,12337,takeoff,32793,32793,32793,32793,32793,32793,32793,32793,0
5.715742049011169,12356,takeoff,32768,32768,32768,32768,32768,32768,32768,32768,0
5.736179886007449,12376,takeoff,32749,32749,32749,32749,32749,32749,32749,32749,0
5.755330325016985,12396,takeoff,32752,32752,32752,32752,32752,32752,32752,32752,0
5.775360391999129,12416,takeoff,32778,32778,32778,32778,32778,32778,32778,32778,0
5.795208035007818,12436,takeoff,32800,32800,32800,32800,32800,32800,32800,32800,0
5.815183391998289,12456,takeoff,32625,32625,32625,32625,32625,32625,32625,32625,0
5.835329333000118,12476,takeoff,32722,32722,32722,32722,32722,32722,32722,32722,0
5.855548643012298,12496,takeoff,32719,32719,32719,32719,32719,32719,32719,32719,0
5.8752113149967045,12516,takeoff,32723,32723,32723,32723,32723,32723,32723,32723,0
5.89524652401451,12536,takeoff,32705,32705,32705,32705,32705,32705,32705,32705,0
5.915184700017562,12556,takeoff,32708,32708,32708,32708,32708,32708,32708,32708,0
5.935456496023107,12576,takeoff,32701,32701,32701,32701,32701,32701,32701,32701,0
5.956379387003835,12597,takeoff,32864,32864,32864,32864,32864,32864,32864,32864,0
5.97633040099754,12617,takeoff,32859,32859,32859,32859,32859,32859,32859,32859,0
5.996291511022719,12637,takeoff,32857,32857,32857,32857,32857,32857,32857,32857,0
6.016287366015604,12657,takeoff,32671,32671,32671,32671,32671,32671,32671,32671,0
6.03638224399765,12677,takeoff,32660,32660,32660,32660,32660,32660,32660,32660,0
6.05639005600824,12697,takeoff,32653,32653,32653,32653,32653,32653,32653,32653,0
6.07622748700669,12717,takeoff,32653,32653,32653,32653,32653,32653,32653,32653,0
6.095179602009011,12736,takeoff,32655,32655,32655,32655,32655,32655,32655,32655,0
6.11535402701702,12756,takeoff,32649,32649,32649,32649,32649,32649,32649,32649,0
6.137372896017041,12776,takeoff,32659,32659,32659,32659,32659,32659,32659,32659,0
6.155770102021052,12796,pre_fault_hover,32669,32669,32669,32669,32669,32669,32669,32669,0
6.1757754380232655,12816,pre_fault_hover,32579,32579,32579,32579,32579,32579,32579,32579,0
6.1957124740001746,12836,pre_fault_hover,32405,32405,32405,32405,32405,32405,32405,32405,0
6.216921348997857,12857,pre_fault_hover,32234,32234,32234,32234,32234,32234,32234,32234,0
6.236666253011208,12877,pre_fault_hover,32085,32085,32085,32085,32085,32085,32085,32085,0
6.25681225900189,12897,pre_fault_hover,31956,31956,31956,31956,31956,31956,31956,31956,0
6.276636224996764,12917,pre_fault_hover,31849,31849,31849,31849,31849,31849,31849,31849,0
6.296543114003725,12937,pre_fault_hover,31767,31767,31767,31767,31767,31767,31767,31767,0
6.316937839001184,12957,pre_fault_hover,31721,31721,31721,31721,31721,31721,31721,31721,0
6.335768963006558,12976,pre_fault_hover,31677,31677,31677,31677,31677,31677,31677,31677,0
6.355287659011083,12996,pre_fault_hover,31659,31659,31659,31659,31659,31659,31659,31659,0
6.375227081007324,13016,pre_fault_hover,31654,31654,31654,31654,31654,31654,31654,31654,0
6.3952665500110015,13036,pre_fault_hover,31652,31652,31652,31652,31652,31652,31652,31652,0
