boost,n,mean_vz,std_vz,min_vz,max_vz,mean_drift,safe_count
6000,3,0.3838644921779632,0.009061343347013955,0.3759681582450866,0.3937577307224273,0.17956511750276957,0
7000,3,0.3870570957660675,0.037194353592764046,0.3623280525207519,0.4298317432403564,0.1985916311745667,0
8000,3,0.35669568181037903,0.006921901162624686,0.3518896102905273,0.3646294474601745,0.22292391122031507,0
9000,3,0.3511518637339274,0.001186012280526359,0.3501371443271637,0.3524557054042816,0.25622142136015486,0
9500,3,0.35983167092005414,0.0035329959725286663,0.3567123413085937,0.3636682629585266,0.25634391858441347,0
10000,3,0.3624047636985778,0.0048743468433481854,0.3587751686573028,0.367944985628128,0.26647506642215424,0
