protocol_id,controller,motor,eta,n,safe_count,contact_count,mean_vz,std_vz,min_vz,max_vz,mean_drift,max_drift,safe_rate,safe_rate_ci_low,safe_rate_ci_high
seeded_ic_v1,cem,1,0.44,6,0,6,1.2000425656636555,0.03629621940642379,1.15440034866333,1.2569949626922607,0.25435731184210775,0.28544142078624685,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.45,6,0,6,1.0927783250808716,0.008680917104944308,1.0809104442596436,1.104451298713684,0.2585813851848631,0.29520922197740923,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.46,6,0,6,0.9848630825678507,0.015346949696105418,0.9644554853439332,1.0102567672729492,0.26786482084067736,0.28808273945861085,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.47,6,0,6,0.8541921178499857,0.004840961195560117,0.8467949032783508,0.8612010478973389,0.2747708389135884,0.2966477306363717,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.48,6,0,6,0.6858033041159312,0.030383205451119475,0.6246792674064636,0.7070264220237732,0.2633114075872271,0.29453436025770724,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.49,6,0,6,0.48661600053310394,0.005865117485008734,0.4812321960926056,0.4945137798786163,0.27511204205298073,0.2979155356092928,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,1,0.5,6,6,6,0.22798016667366025,0.004793142915180498,0.2204851508140564,0.2351478934288025,0.23852312359102992,0.26197226063177315,1.0,0.6096569663469354,0.9999999999999999
seeded_ic_v1,cem,3,0.44,6,0,6,1.186488409837087,0.013367450800754592,1.172197937965393,1.207216739654541,0.264118683143116,0.2964309190452479,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.45,6,0,6,1.0818044145901997,0.011542974297117987,1.0725233554840088,1.104652762413025,0.2600592171884386,0.3003300530979973,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.46,6,0,6,0.9780789812405905,0.016779862362206136,0.954534351825714,0.9976476430892944,0.266216110887822,0.28990313128712253,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.47,6,0,6,0.8550028502941132,0.010359513001412541,0.8423182964324951,0.8667691946029663,0.2691295069973765,0.293149722944432,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.48,6,0,6,0.6847606499989828,0.02686595481817406,0.6335023045539856,0.7041141986846924,0.2862099181847953,0.3108538423240546,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.49,6,0,6,0.4753589282433191,0.011478217650319417,0.4631489217281341,0.4953348338603973,0.2923517507555309,0.30719106516847705,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,3,0.5,6,6,6,0.20782420535882315,0.018510380772189448,0.1757986694574356,0.2309862375259399,0.2676124998933426,0.28037155887179127,1.0,0.6096569663469354,0.9999999999999999
seeded_ic_v1,cem,4,0.44,6,0,6,1.1640300154685974,0.015574361952865061,1.1383609771728516,1.1820725202560425,0.26075651724873167,0.2837055480159666,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.45,6,0,6,1.095710317293803,0.02042705623777464,1.0740070343017578,1.1265451908111572,0.2497552662383379,0.2561637260890347,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.46,6,0,6,0.9672058920065562,0.010999726140530248,0.9494438767433168,0.9801383018493652,0.25229643400882584,0.26366972645393233,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.47,6,0,6,0.8404043912887573,0.010237700600967728,0.827799916267395,0.8562436699867249,0.27710568026817944,0.30146906141475793,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.48,6,0,6,0.6804668804009756,0.0091507273492066,0.6662690043449402,0.6945906281471252,0.28635149376003083,0.29169922503297274,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.49,6,0,6,0.4921712825695674,0.004947149677477704,0.485348641872406,0.4984398782253265,0.29475494788284234,0.3112978111035555,0.0,0.0,0.3903430336530645
seeded_ic_v1,cem,4,0.5,6,6,6,0.1972330982486407,0.011079330761948331,0.1808567643165588,0.2104533612728119,0.22487407368519333,0.24689990971164555,1.0,0.6096569663469354,0.9999999999999999
seeded_ic_v1,qplite,1,0.44,6,0,6,1.191092848777771,0.01797468658516075,1.1646140813827517,1.2074180841445925,0.25343104397944966,0.2853115115346289,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.45,6,0,6,1.099470853805542,0.013907419121905552,1.083594799041748,1.1152057647705078,0.25739873551779646,0.29676329933948836,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.46,6,0,6,0.9800975918769836,0.011584431878638793,0.9662681818008424,0.9941375851631165,0.26691834389132046,0.284885233791666,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.47,6,0,6,0.8552666703859965,0.006950507091276104,0.8434368968009949,0.8651334047317505,0.27224311528882394,0.2917840870411776,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.48,6,0,6,0.6976231237252554,0.01242639029235768,0.684337317943573,0.7195109724998474,0.26348403915770185,0.28832147860475926,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.49,6,0,6,0.4871145784854889,0.009439720754738125,0.475277692079544,0.4970563352108001,0.2783079442351754,0.3034907025160151,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,1,0.5,6,6,6,0.2076022128264109,0.008460334056310106,0.1928961127996444,0.218151569366455,0.26520036037973743,0.2831831563888449,1.0,0.6096569663469354,0.9999999999999999
seeded_ic_v1,qplite,3,0.44,6,0,6,1.1891002456347148,0.009490504511353741,1.181261420249939,1.2052122354507446,0.26380888002859976,0.2978005866087536,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.45,6,0,6,1.091812252998352,0.012319346341090288,1.0802412033081057,1.1088956594467163,0.2605225006537573,0.29710316558313266,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.46,6,0,6,0.9793533384799957,0.004315469928963211,0.9728526473045348,0.9840750694274902,0.2670559946613874,0.2901670215917784,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.47,6,0,6,0.8518948157628378,0.01251064201812082,0.8347722887992859,0.8653098344802856,0.270275424352921,0.29302905383364947,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.48,6,0,6,0.6949910819530487,0.008483492899084111,0.6857675313949585,0.7104042768478394,0.2830093508812094,0.3069283540528604,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.49,6,0,6,0.47474612295627594,0.010004839020590022,0.4649025797843933,0.4861902892589569,0.29526689442307563,0.3157705737512207,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,3,0.5,6,6,6,0.19186437875032422,0.005942944543469628,0.1804959923028946,0.1968869715929031,0.3176824978168626,0.3256124189004134,1.0,0.6096569663469354,0.9999999999999999
seeded_ic_v1,qplite,4,0.44,6,0,6,1.1725633541742961,0.008613682316881498,1.159954309463501,1.182873010635376,0.2605637401357406,0.28518351468172787,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.45,6,0,6,1.0863862037658691,0.017524383844121003,1.0660574436187744,1.1113282442092896,0.2561853231754454,0.25899691914457934,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.46,6,0,6,0.964610626300176,0.011012479419359084,0.945113480091095,0.9777576327323914,0.25237472362852625,0.26304635562195544,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.47,6,0,6,0.8397049208482107,0.010494768214929803,0.8288194537162781,0.8526419997215271,0.27730340625709404,0.30028340648843144,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.48,6,0,6,0.6789001822471619,0.005591807809330868,0.668882429599762,0.683978259563446,0.28753778398509794,0.3065057747550475,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.49,6,0,6,0.49278970062732697,0.005556265425108297,0.4862107634544372,0.5022160410881042,0.2934816554960446,0.3053141781335582,0.0,0.0,0.3903430336530645
seeded_ic_v1,qplite,4,0.5,6,6,6,0.19152013957500455,0.007819595244932495,0.1839574128389358,0.2035732120275497,0.24980991678292816,0.28961576088615226,1.0,0.6096569663469354,0.9999999999999999
