motor,eta,boost,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
2,0.497,10000,1,0.3669974505901336,0.010542338809606032,0.0295929238200187,0.017176864648654897,0.26413231696427236,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep1.csv
2,0.497,10000,2,0.34876748919487,0.008189454189939044,0.0606680661439895,0.014011135867675823,0.27260890346488903,True,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep2.csv
2,0.497,10000,3,0.3421447873115539,0.007599162549499588,0.1020891889929771,0.012830010772113147,0.2888215730475395,True,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep3.csv
2,0.497,11000,1,0.3754457235336303,0.010216509197287973,0.0626017227768898,0.015064742301455745,0.3027253636733534,False,motorloss_ftcboost_m2_eta0p497_b11000_r0_0_0_0_rep1.csv
2,0.497,11000,2,0.367808848619461,0.009964724124108223,0.0529820024967193,0.01400929305917932,0.30049952272312425,False,motorloss_ftcboost_m2_eta0p497_b11000_r0_0_0_0_rep2.csv
2,0.497,11000,3,0.3614720106124878,0.009679950658306232,0.0628258287906646,0.013893309977467372,0.3069527881999317,False,motorloss_ftcboost_m2_eta0p497_b11000_r0_0_0_0_rep3.csv
2,0.497,12000,1,0.375980794429779,0.009199561222156946,0.0981794446706771,0.01282983232919311,0.34475720141331273,False,motorloss_ftcboost_m2_eta0p497_b12000_r0_0_0_0_rep1.csv
2,0.497,12000,2,0.3851051032543182,0.009445023765503794,0.1012783497571945,0.013013759230739552,0.34468824723398656,False,motorloss_ftcboost_m2_eta0p497_b12000_r0_0_0_0_rep2.csv
2,0.497,12000,3,0.3809808492660522,0.008840367470353083,0.1183590218424797,0.01287160489393197,0.3564671389201401,False,motorloss_ftcboost_m2_eta0p497_b12000_r0_0_0_0_rep3.csv
2,0.497,13000,1,0.4038307666778564,0.012025608469997824,0.0443104915320873,0.013031292622540974,0.34045348858389735,False,motorloss_ftcboost_m2_eta0p497_b13000_r0_0_0_0_rep1.csv
2,0.497,13000,2,0.4067496061325073,0.01172425855667123,0.0516468547284603,0.012827368376266704,0.3505812505758438,False,motorloss_ftcboost_m2_eta0p497_b13000_r0_0_0_0_rep2.csv
2,0.497,13000,3,0.3830868005752563,0.010090068487842281,0.087392620742321,0.011766094796658019,0.3740888523895627,False,motorloss_ftcboost_m2_eta0p497_b13000_r0_0_0_0_rep3.csv
2,0.497,14000,1,0.4248161017894745,0.011224234996389823,0.0894076004624366,0.011766226148299934,0.3919239003152039,False,motorloss_ftcboost_m2_eta0p497_b14000_r0_0_0_0_rep1.csv
2,0.497,14000,2,0.4366927444934845,0.012735276109080913,0.0675687864422798,0.011815342869914916,0.3812515939347344,False,motorloss_ftcboost_m2_eta0p497_b14000_r0_0_0_0_rep2.csv
2,0.497,14000,3,0.423613429069519,0.010955777254744054,0.1044037416577339,0.011919239466697673,0.4024001722639862,False,motorloss_ftcboost_m2_eta0p497_b14000_r0_0_0_0_rep3.csv
