threshold_name,motor_a,motor_b,motor_a_threshold_pwm,motor_b_threshold_pwm,motor_b_minus_motor_a_pwm,difference_ci95_low_pwm,difference_ci95_high_pwm,bootstrap_probability_motor_b_requires_more,bootstrap_reps
R10,1,4,10143.316429488083,9482.770929117461,-660.5455003706211,-1304.3296191357128,-41.38045284094782,0.017817817817817817,4995
R50,1,4,11099.456415430372,11343.888280800436,244.43186537006477,-138.1880025213543,661.8779324989176,0.8984984984984985,4995
R90,1,4,12055.596401372659,13205.005632483415,1149.409231110756,361.47588791097496,2046.0443432944912,0.997997997997998,4995
