motor,eta,boost,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
2,0.497,6000,1,0.3818675875663757,0.014513025239833124,0.0266264081001281,0.018358428465142438,0.1791586060481938,False,motorloss_ftcboost_m2_eta0p497_b6000_r0_0_0_0_lower_rep1.csv
2,0.497,6000,2,0.3937577307224273,0.01747080774125028,0.0665253922343254,0.01906396824845764,0.1700066777776922,False,motorloss_ftcboost_m2_eta0p497_b6000_r0_0_0_0_lower_rep2.csv
2,0.497,6000,3,0.3759681582450866,0.012650196626507744,0.0372885055840015,0.01835844723841889,0.18953006868242261,False,motorloss_ftcboost_m2_eta0p497_b6000_r0_0_0_0_lower_rep3.csv
2,0.497,7000,1,0.4298317432403564,0.018630152757690168,0.1117802336812019,0.018365795268865493,0.1994741216671651,False,motorloss_ftcboost_m2_eta0p497_b7000_r0_0_0_0_lower_rep1.csv
2,0.497,7000,2,0.3623280525207519,0.00881157549947292,0.0625802800059318,0.017738306671747132,0.19830305290939843,False,motorloss_ftcboost_m2_eta0p497_b7000_r0_0_0_0_lower_rep2.csv
2,0.497,7000,3,0.3690114915370941,0.009605855939412142,0.0571224987506866,0.017464577615211866,0.1979977189471366,False,motorloss_ftcboost_m2_eta0p497_b7000_r0_0_0_0_lower_rep3.csv
2,0.497,8000,1,0.3535679876804352,0.007761584450023763,0.0729233995079994,0.016295492963361254,0.22805136321182826,False,motorloss_ftcboost_m2_eta0p497_b8000_r0_0_0_0_lower_rep1.csv
2,0.497,8000,2,0.3646294474601745,0.008489570667269936,0.0932972952723503,0.016258777193005964,0.22635893252251,False,motorloss_ftcboost_m2_eta0p497_b8000_r0_0_0_0_lower_rep2.csv
2,0.497,8000,3,0.3518896102905273,0.008483752176845053,0.034636702388525,0.017210024606166115,0.21436143792660697,False,motorloss_ftcboost_m2_eta0p497_b8000_r0_0_0_0_lower_rep3.csv
2,0.497,9000,1,0.3524557054042816,0.009487685451785985,0.0277919135987758,0.015263201420924412,0.24457261130908595,False,motorloss_ftcboost_m2_eta0p497_b9000_r0_0_0_0_lower_rep1.csv
2,0.497,9000,2,0.3508627414703369,0.008512288233407555,0.1140575632452964,0.014984114991053048,0.27235420439452895,False,motorloss_ftcboost_m2_eta0p497_b9000_r0_0_0_0_lower_rep2.csv
2,0.497,9000,3,0.3501371443271637,0.009088555862565227,0.0474276281893253,0.016280813143264718,0.25173744837684975,False,motorloss_ftcboost_m2_eta0p497_b9000_r0_0_0_0_lower_rep3.csv
2,0.497,9500,1,0.3567123413085937,0.009488415377675169,0.0399730280041694,0.016162510732871414,0.25804949505627794,False,motorloss_ftcboost_m2_eta0p497_b9500_r0_0_0_0_lower_rep1.csv
2,0.497,9500,2,0.3636682629585266,0.010728424418482008,0.0164005439728498,0.016157337983355023,0.24792453463824293,False,motorloss_ftcboost_m2_eta0p497_b9500_r0_0_0_0_lower_rep2.csv
2,0.497,9500,3,0.359114408493042,0.010149621793653585,0.0436134524643421,0.015106291208450723,0.26305772605871963,False,motorloss_ftcboost_m2_eta0p497_b9500_r0_0_0_0_lower_rep3.csv
2,0.497,10000,1,0.3604941368103027,0.009030369550851352,0.072712741792202,0.017074635793724192,0.27485177600393806,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_lower_rep1.csv
2,0.497,10000,2,0.367944985628128,0.009924946698376852,0.0361722968518734,0.01498840915004819,0.2623437896244409,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_lower_rep2.csv
2,0.497,10000,3,0.3587751686573028,0.009431260833737453,0.0373044610023498,0.015108438287053792,0.26222963363808377,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_lower_rep3.csv
