motor,controller,n_trials,eta_min,eta_max,safe_count,intercept,slope,eta50,eta50_ci_low,eta50_ci_high,eta50_boot_median,bootstrap_n_valid,nll
1,cem,210,0.492,0.498,92,-2771.9686101549587,5595.477000135827,0.4953945141920288,0.49515788339610434,0.4955000573044264,0.49538845735973874,2000,14.15325564358939
1,qplite,210,0.492,0.498,61,-2077.702693414912,4185.033994418485,0.4964601712162701,0.4961507898024536,0.4966773716594237,0.4964601495985541,2000,21.657983241226376
3,cem,210,0.492,0.498,95,-2405.7504857104564,4857.249368084988,0.4952907094944857,0.4950862618870653,0.4953945315416935,0.4952485246779283,2000,19.465554354002762
3,qplite,210,0.492,0.498,92,-1572.8679855184062,3174.753242527982,0.49542999577062186,0.4952630884384595,0.49563762124222366,0.495430007052302,2000,30.52063403722292
4,cem,210,0.492,0.498,90,-2631.972787259637,5311.751336043789,0.4955000000470541,0.4953884671426568,0.4958685645597236,0.49550001053022497,2000,14.717216275910848
4,qplite,210,0.492,0.498,65,-6617.714239930184,13338.921469988334,0.4961206387502611,0.4960506616522851,0.49619393233427295,0.496112926890498,2000,13.517087584243514
