motor,eta,boost,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
1,0.496,10000,1,0.3509853780269623,0.007077328669910844,0.1248713955283165,0.023449547172118102,0.24154332610114576,False,motorloss_ftcboost_m1_eta0p496_b10000_r0_0_0_0_rep1.csv
1,0.496,10000,2,0.3582881391048431,0.010302207589993919,0.1434470415115356,0.023257791374263485,0.25476550536595177,False,motorloss_ftcboost_m1_eta0p496_b10000_r0_0_0_0_rep2.csv
1,0.496,10000,3,0.3575346767902374,0.008976733582645204,0.1343854069709777,0.02435453573668106,0.2516481588759733,False,motorloss_ftcboost_m1_eta0p496_b10000_r0_0_0_0_rep3.csv
1,0.497,10000,1,0.3244693279266357,0.009086440930657936,0.0902365148067474,0.020599975513756193,0.24748908776890421,True,motorloss_ftcboost_m1_eta0p497_b10000_r0_0_0_0_rep1.csv
1,0.497,10000,2,0.3210757076740265,0.010062686933289135,0.0655140429735183,0.020748996964385646,0.2558452731182957,True,motorloss_ftcboost_m1_eta0p497_b10000_r0_0_0_0_rep2.csv
1,0.497,10000,3,0.3188323080539703,0.00982368360387681,0.0696684941649437,0.0206422251828839,0.2572158813453231,True,motorloss_ftcboost_m1_eta0p497_b10000_r0_0_0_0_rep3.csv
1,0.498,10000,1,0.2892025709152221,0.009411695081170348,0.0244035199284553,0.020256055970108905,0.2490421087586772,True,motorloss_ftcboost_m1_eta0p498_b10000_r0_0_0_0_rep1.csv
1,0.498,10000,2,0.2840055227279663,0.00969827801543828,0.0221628677099943,0.018920963793687007,0.25554122639075966,True,motorloss_ftcboost_m1_eta0p498_b10000_r0_0_0_0_rep2.csv
1,0.498,10000,3,0.2722896039485931,0.008788564510269709,0.0599958710372448,0.018877316129283377,0.2621286332112899,True,motorloss_ftcboost_m1_eta0p498_b10000_r0_0_0_0_rep3.csv
2,0.496,10000,1,0.4000277519226074,0.010997157682354963,0.0305322278290987,0.016260537467121323,0.26621704808521507,False,motorloss_ftcboost_m2_eta0p496_b10000_r0_0_0_0_rep1.csv
2,0.496,10000,2,0.3852894008159637,0.0100793208405502,0.0611993595957756,0.01614185275338946,0.2820545605261713,False,motorloss_ftcboost_m2_eta0p496_b10000_r0_0_0_0_rep2.csv
2,0.496,10000,3,0.3941624164581299,0.010849111998918942,0.0567632988095283,0.016562320804381133,0.2799437250068764,False,motorloss_ftcboost_m2_eta0p496_b10000_r0_0_0_0_rep3.csv
2,0.497,10000,1,0.3639629185199737,0.00956071905575328,0.0777316614985466,0.015108433635109955,0.2777266373214764,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep1.csv
2,0.497,10000,2,0.3549682796001434,0.008877449549790691,0.0815235748887062,0.015102535178854976,0.2799558720119647,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep2.csv
2,0.497,10000,3,0.3572338223457336,0.0087213695660515,0.0710022523999214,0.015064925180185824,0.27765543956870414,False,motorloss_ftcboost_m2_eta0p497_b10000_r0_0_0_0_rep3.csv
