motor,eta,boost,r1,r2,r3,r4,n,mean_vz,std_vz,min_vz,max_vz,mean_hspeed,max_hspeed,mean_tilt,max_tilt,mean_drift,max_drift,safe_count
1,0.497,0,0,0,10000,0,3,0.32313090562820435,0.025595608293857035,0.3021765649318695,0.3516586124897003,0.012211173182494086,0.01729104928266059,0.1615886365373929,0.2587108314037323,0.26895467792818567,0.3038745966977059,2
2,0.497,0,0,0,0,10000,3,0.3269624312718709,0.0006634958844276142,0.3263517916202545,0.3276684582233429,0.008875248997586602,0.009094020651033867,0.1051283478736877,0.1100213229656219,0.27612337795801045,0.27788623759085185,3
3,0.497,0,12000,0,0,0,3,0.3142101466655731,0.004196533001765776,0.3094040751457214,0.3171490430831909,0.01824814769956166,0.018329801932627607,0.04534924030303953,0.0487425364553928,0.31196885125142,0.3143861528268899,3
4,0.497,0,0,10000,0,0,3,0.3322182893753052,0.040993539291453364,0.2928067445755005,0.3746290802955627,0.011888618373530087,0.014991274025709206,0.13172600169976548,0.1808765232563018,0.27059180099068597,0.3031435180605309,2
