motor,qplite_eta50,cem_eta50,eta50_improvement_qplite_minus_cem,interpretation
1,0.4963599928931217,0.4953788220192172,0.0009811708739045355,CEM lower boundary
3,0.49542999577062186,0.4952907094944857,0.0001392862761361302,CEM lower boundary
4,0.4961206387502611,0.4954644834664601,0.0006561552838009743,CEM lower boundary
