motor,eta,boost,opposite_residual,r1,r2,r3,r4,n,mean_vz,std_vz,min_vz,max_vz,mean_hspeed,max_hspeed,mean_tilt,max_tilt,mean_drift,max_drift,safe_count
1,0.497,0,10000,0,0,10000,0,3,0.32735352714856464,0.0024374320489299085,0.3257915675640106,0.3301621377468109,0.01024855881290073,0.011706568636097408,0.14467954387267432,0.1834317147731781,0.2609583702234372,0.275449340639547,3
2,0.497,0,10000,0,0,0,10000,3,0.3389419714609782,0.009950323503560782,0.3287283182144165,0.3486061990261078,0.009580260880989719,0.01046512621162065,0.0633662200222412,0.1080419868230819,0.26391786858862565,0.2765163866675123,3
3,0.497,0,10000,10000,0,0,0,3,0.3435857594013214,0.012249092919477515,0.3307325839996338,0.3551248013973236,0.010819083289669108,0.012028111397860666,0.10215554510553675,0.1779999881982803,0.2553144334892592,0.2668270889384015,2
4,0.497,0,10000,0,10000,0,0,3,0.3192477722962697,0.006679205638536147,0.3115439414978027,0.3234159648418426,0.01008462895619557,0.010523935814446833,0.0922495896617571,0.1093914210796356,0.27330039364503916,0.27612949214534943,3
