contact_found,protocol_id,trial_seed,motor,eta,controller,allocator_config,candidate,r1,r2,r3,r4,spawn_x_cmd,spawn_y_cmd,spawn_yaw_deg_cmd,fault_time_cmd,hover_z_cmd,fault_z,fault_vz,qp_predicted_vz,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
True,seeded_ic_v1,24946001,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.015171,0.006803,2.398483,10.073647,0.694076,0.7071782946586609,-0.0036352816969156,0.3707,0.4417469799518585,0.027223885479114897,0.2119123637676239,0.029763476153509258,0.3070379122709067,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946001.csv
True,seeded_ic_v1,24946002,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.008794,0.004175,2.544198,10.087429,0.704782,0.7181089520454407,-0.003940908703953,0.3707,0.4575423002243042,0.02637387250813034,0.1773347705602646,0.031020593837072497,0.3164177010260153,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946002.csv
True,seeded_ic_v1,24946003,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.019949,0.025002,-0.16893,10.236202,0.696585,0.7091271281242371,-0.0038327218499034,0.3707,0.4492831826210022,0.025393819242899785,0.1790381968021392,0.027962702208106125,0.2780376816063911,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946003.csv
True,seeded_ic_v1,24946004,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.000442,0.029804,1.188763,10.247256,0.699835,0.7124568223953247,-0.0038299968000501,0.3707,0.4514869451522827,0.026679392839379264,0.2209377139806747,0.029309328526946832,0.29758898624955676,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946004.csv
True,seeded_ic_v1,24946005,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.015437,-0.001124,-2.662648,9.938214,0.680029,0.6933342814445496,-0.003572859801352,0.3707,0.4504817426204681,0.029497513236754237,0.1571907103061676,0.030384443226723613,0.32307100816299006,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946005.csv
True,seeded_ic_v1,24946006,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.016809,-0.014231,1.503194,9.968842,0.718923,0.7330366969108582,-0.0040040956810116,0.3707,0.4727196395397186,0.02688324706750743,0.1590721905231475,0.02876207936819021,0.33732951829150837,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946006.csv
True,seeded_ic_v1,24946007,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.002601,0.013388,4.519648,10.057798,0.693848,0.7070928812026978,-0.0037147961556911,0.3707,0.4526073634624481,0.02625346750570794,0.1556648164987564,0.03120655845110857,0.29435886265458044,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946007.csv
True,seeded_ic_v1,24946008,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.01114,0.011399,-2.665434,10.073138,0.712792,0.7263739705085754,-0.0039721499197185,0.3707,0.4859236478805542,0.02861175201423165,0.1167148947715759,0.03165926488211345,0.2967400016060068,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946008.csv
True,seeded_ic_v1,24946009,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.000181,0.012328,4.042077,9.901707,0.713392,0.7278430461883545,-0.0040469532832503,0.3707,0.461015373468399,0.027705457597283798,0.1763263791799545,0.032816373005398844,0.3113456340392049,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946009.csv
True,seeded_ic_v1,24946010,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.001124,-0.003924,0.500623,10.135308,0.685376,0.6980994939804077,-0.0038453820161521,0.3707,0.458857774734497,0.02860479874809141,0.1372065246105194,0.03221636498928967,0.30793547758887585,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946010.csv
True,seeded_ic_v1,24946011,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.028453,-0.022054,4.797236,10.085044,0.695846,0.7091323733329773,-0.0036367424763739,0.3707,0.4531799554824829,0.02437508724616549,0.1753860712051391,0.028735456921587313,0.34803403419040696,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946011.csv
True,seeded_ic_v1,24946012,2,0.492,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.002417,0.020514,-2.522481,9.932084,0.713976,0.7282706499099731,-0.0039634173735976,0.3707,0.4703090190887451,0.025149167482150486,0.1416818052530288,0.027860099511649392,0.29620882655841385,False,qp_event_allocator_m2_eta0p492_seededcoarse_cem_m2_eta0p492_seed24946012.csv
True,seeded_ic_v1,24966001,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.020932,-0.001956,1.942545,9.916664,0.713039,0.727289080619812,-0.0039501041173934,0.3587,0.4252011775970459,0.02110848000327266,0.0411381497979164,0.026286409244616303,0.29699534350647044,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966001.csv
True,seeded_ic_v1,24966002,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.029749,0.028435,-1.594462,10.22726,0.689523,0.7020577788352966,-0.0037776182871311,0.3587,0.3962062895298004,0.02426496583794243,0.1354103237390518,0.028101542927606846,0.3025461407946843,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966002.csv
True,seeded_ic_v1,24966003,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.00926,-0.001748,1.713124,10.136188,0.717882,0.7314385771751404,-0.0037286553997546,0.3587,0.4234687685966491,0.021612487831421525,0.0554426573216915,0.026109423964286737,0.31075883476682514,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966003.csv
True,seeded_ic_v1,24966004,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.013462,0.023135,1.04121,9.907951,0.687181,0.7007290720939636,-0.0036313801538199,0.3587,0.3973602950572967,0.022238477841838324,0.1071317419409751,0.025144961732286173,0.32048555509801585,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966004.csv
True,seeded_ic_v1,24966005,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.010527,0.014855,-4.852325,9.806168,0.706816,0.721349835395813,-0.0042791627347469,0.3587,0.4236124753952026,0.02002950207489464,0.0555505156517028,0.027891710110627802,0.2909859932016175,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966005.csv
True,seeded_ic_v1,24966006,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.001576,-0.010669,-0.137003,9.960406,0.689396,0.7028685212135315,-0.0039123650640249,0.3587,0.4118565917015075,0.021980313856641193,0.0949478521943092,0.027384647612662245,0.3244838290760728,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966006.csv
True,seeded_ic_v1,24966007,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.015036,0.022152,1.148844,9.76956,0.702355,0.716946005821228,-0.0039175869897007,0.3587,0.4194120764732361,0.021848356073956274,0.0631140694022178,0.028378505918470433,0.28998408282631793,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966007.csv
True,seeded_ic_v1,24966008,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.029032,0.015054,4.178804,9.961954,0.688093,0.7015443444252014,-0.0039686146192252,0.3587,0.4152937829494476,0.021299281940283674,0.0730608478188514,0.027404073988688053,0.3199789631825048,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966008.csv
True,seeded_ic_v1,24966009,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.001118,0.023009,-3.134398,9.956173,0.689294,0.7026267647743225,-0.0037363925948739,0.3587,0.4090830087661743,0.021531404905306074,0.0790607035160064,0.026355498396993828,0.29640409490712455,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966009.csv
True,seeded_ic_v1,24966010,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.029989,-0.002475,-3.978362,10.177685,0.706565,0.7197041511535645,-0.0036949499044567,0.3587,0.4181041121482849,0.022369365317237558,0.0792527422308921,0.0274608811757358,0.3037214971429676,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966010.csv
True,seeded_ic_v1,24966011,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.006303,0.011419,-4.328108,10.183828,0.710535,0.7237746119499207,-0.0039083682931959,0.3587,0.4092239737510681,0.023147060114520744,0.0908829122781753,0.024043293163924655,0.31527704254064376,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966011.csv
True,seeded_ic_v1,24966012,2,0.494,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.017374,0.026277,2.863659,9.943374,0.690853,0.7044612169265747,-0.004094326402992,0.3587,0.4161570370197296,0.02132731103812749,0.0744399279356002,0.027824778245520758,0.28061694646502,False,qp_event_allocator_m2_eta0p494_seededcoarse_cem_m2_eta0p494_seed24966012.csv
True,seeded_ic_v1,24986001,2,0.496,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.006532,-0.023104,4.084733,9.990049,0.68415,0.697373628616333,-0.0037690927274525,0.3467,0.3608268797397613,0.016428760978863744,0.1057159155607223,0.015402460823098506,0.3384569656446152,False,qp_event_allocator_m2_eta0p496_seededcoarse_cem_m2_eta0p496_seed24986001.csv
True,seeded_ic_v1,24986002,2,0.496,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.028207,0.006923,-4.221788,10.138343,0.686698,0.6994282603263855,-0.0037265706341713,0.3467,0.371126115322113,0.016341522382640673,0.0171248819679021,0.021519780820862998,0.31637277650869955,False,qp_event_allocator_m2_eta0p496_seededcoarse_cem_m2_eta0p496_seed24986002.csv
True,seeded_ic_v1,24986003,2,0.496,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.000345,0.027354,0.547331,9.921361,0.717333,0.7316091060638428,-0.004125396721065,0.3467,0.3640220463275909,0.014782791874580918,0.0949804410338401,0.01192505358247592,0.3023997933470016,False,qp_event_allocator_m2_eta0p496_seededcoarse_cem_m2_eta0p496_seed24986003.csv
True,seeded_ic_v1,24986004,2,0.496,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.024734,-0.01821,3.645694,9.842964,0.698028,0.7121303677558899,-0.0039280117489397,0.3467,0.3656319975852966,0.015433057427810724,0.0920110046863555,0.013204774484477827,0.3533987852964723,False,qp_event_allocator_m2_eta0p496_seededcoarse_cem_m2_eta0p496_seed24986004.csv
True,seeded_ic_v1,24986005,2,0.496,cem,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,-0.010349,0.014227,-2.419316,9.933168,0.689727,0.7032429575920105,-0.0036890911869704,0.3467,0.345426082611084,0.014574236437007237,0.1413495689630508,0.011078161277517548,0.3310909199829247,True,qp_event_allocator_m2_eta0p496_seededcoarse_cem_m2_eta0p496_seed24986005.csv
