protocol_id,controller,motor,eta,n,safe_count,contact_count,mean_vz,std_vz,min_vz,max_vz,mean_drift,max_drift,safe_rate,safe_rate_ci_low,safe_rate_ci_high
seeded_ic_v1,cem,1,0.492,30,0,30,0.44409010112285613,0.0092061561554881,0.4255172312259674,0.4597408771514892,0.2923248022994876,0.33797339762038325,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,1,0.493,30,0,30,0.42327708303928374,0.007492039411461139,0.4051858782768249,0.4386256635189056,0.29315770745711095,0.3452024458189033,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,1,0.494,30,2,30,0.3815820779961844,0.0727501224387402,0.0002345340326428,0.4059585332870483,0.2899019946762858,0.3408740811676861,0.06666666666666667,0.01847663532769335,0.21323817721072091
seeded_ic_v1,cem,1,0.495,30,1,30,0.36565355559190116,0.007305768203919531,0.3374591767787933,0.3747558295726776,0.29683004138616326,0.3747965019352253,0.03333333333333333,0.0059084379948573795,0.16670751396958874
seeded_ic_v1,cem,1,0.496,30,30,30,0.33452130754788717,0.007942948957422912,0.316166341304779,0.3473283350467682,0.30294886198420357,0.34380445861729764,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,1,0.497,30,30,30,0.29901317209005357,0.016124774420239286,0.2248230725526809,0.318061888217926,0.31174218533503656,0.35266387465419535,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,1,0.498,30,30,30,0.25160338725060377,0.06964760112331714,0.0,0.2862215638160705,0.28646280514896605,0.3630647270468418,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,3,0.492,30,0,30,0.4359243233998616,0.007787602586896632,0.4189547896385193,0.4506150186061859,0.3098577124057523,0.3396077925367847,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,3,0.493,30,0,30,0.4107162286837896,0.00902553378997803,0.3905511498451233,0.4274798035621643,0.3136007256785609,0.35678715147993056,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,3,0.494,30,1,30,0.3827940622965495,0.023712279248317092,0.2709910571575165,0.4038558602333069,0.32598737444007714,0.42411249865679584,0.03333333333333333,0.0059084379948573795,0.16670751396958874
seeded_ic_v1,cem,3,0.495,30,4,30,0.355800794561704,0.015430620848429657,0.283377468585968,0.3723308444023132,0.3247661772336142,0.3556323015007513,0.13333333333333333,0.05309569424218104,0.2968168394441695
seeded_ic_v1,cem,3,0.496,30,30,30,0.3047248573372296,0.08325652283360861,0.0005219430313445,0.3392336666584015,0.3056162759159571,0.3614857637398011,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,3,0.497,30,30,30,0.29669878681500755,0.009572242301823483,0.2741290032863617,0.3155445158481598,0.3292960320339105,0.3569448883688297,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,3,0.498,30,30,30,0.259817565480868,0.054859715013495895,0.0,0.2870431840419769,0.3026938520772318,0.4936589010725517,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,4,0.492,30,1,30,0.43243675827980044,0.08200658082023173,0.0,0.4643973112106323,0.2872756828063682,0.32528802557197617,0.03333333333333333,0.0059084379948573795,0.16670751396958874
seeded_ic_v1,cem,4,0.493,30,0,30,0.421189621090889,0.00755130326115401,0.4097128212451935,0.4405950307846069,0.30260790154490924,0.3449474141358453,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,4,0.494,30,1,30,0.3922538618246714,0.0139231096271623,0.3379214704036712,0.4158462285995483,0.3099298576325503,0.36823290546804255,0.03333333333333333,0.0059084379948573795,0.16670751396958874
seeded_ic_v1,cem,4,0.495,30,0,30,0.36634773313999175,0.0074140760930747835,0.3503142893314361,0.3824214935302734,0.3135619348277717,0.35076356081945587,0.0,0.0,0.113517091390478
seeded_ic_v1,cem,4,0.496,30,29,30,0.3390352616707484,0.006998526830698677,0.3236320316791534,0.3515090644359588,0.32293891036985567,0.3660256550500671,0.9666666666666667,0.8332924860304112,0.9940915620051425
seeded_ic_v1,cem,4,0.497,30,30,30,0.30124176695826466,0.057831214772495046,0.0004842146881856,0.3343768417835235,0.3077922930434676,0.3620088098721369,1.0,0.8864829086095221,1.0
seeded_ic_v1,cem,4,0.498,30,30,30,0.2772864609956741,0.0068599056873909145,0.2650285959243774,0.2895209193229675,0.3275635090234064,0.37191661827734845,1.0,0.8864829086095221,1.0
seeded_ic_v1,qplite,1,0.492,30,0,30,0.4423074146111806,0.008128623381972944,0.4301966428756714,0.4628027379512787,0.29188289618068913,0.3259949558817098,0.0,0.0,0.113517091390478
