motor,eta,boost,file,found_contact,phase_contact,t_contact,z_contact,vz_contact,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd
1,0.45,0,motorloss_ftcboost_m1_eta0p45_b0.csv,True,max_brake_hold,10.654446363449097,0.0215425565838813,-1.2150908708572388,1.2150908708572388,0.03961181526256117,2.9221444129943848,0.22548557687821583,0.1772583892269408,False,29490.0,29745.0,27439.0,29369.0,0.95
1,0.45,5000,motorloss_ftcboost_m1_eta0p45_b5000.csv,True,max_brake_hold,10.705199480056764,0.0216104984283447,-1.1877751350402832,1.1877751350402832,0.027498108929039825,1.953479886054993,0.25169929639150185,0.20872561309514356,False,29490.0,28173.0,28225.0,28375.0,0.95
1,0.45,8000,motorloss_ftcboost_m1_eta0p45_b8000.csv,True,max_brake_hold,10.753456830978394,0.0216919668018817,-1.1531955003738403,1.1531955003738403,0.0256121726155421,1.3570445775985718,0.230408728701576,0.22891538511630355,False,29490.0,28107.0,28793.0,28945.0,0.95
1,0.45,10000,motorloss_ftcboost_m1_eta0p45_b10000.csv,True,max_brake_hold,10.803995132446287,-0.0089101623743772,-1.231310248374939,1.231310248374939,0.031495155830847374,0.8003643751144409,0.20829734386553678,0.24113937830956614,False,29490.0,30015.0,28755.0,31379.0,0.95
1,0.45,12000,motorloss_ftcboost_m1_eta0p45_b12000.csv,True,max_brake_hold,10.805270910263062,0.0066909715533256,-1.1566588878631592,1.1566588878631592,0.048931418431734985,1.1448211669921875,0.21206650801858395,0.25639772925120713,False,29490.0,27669.0,28969.0,29511.0,0.95
1,0.45,14000,motorloss_ftcboost_m1_eta0p45_b14000.csv,True,max_brake_hold,10.856503248214722,-0.0157200153917074,-1.231230616569519,1.231230616569519,0.07092233642939504,1.442613959312439,0.19177829352602827,0.2807957251160932,False,29490.0,27279.0,29163.0,30087.0,0.95
1,0.45,16000,motorloss_ftcboost_m1_eta0p45_b16000.csv,True,max_brake_hold,10.856469631195068,0.0016309526981785,-1.0168774127960205,1.0168774127960205,0.09215381819726762,1.8520605564117432,0.20061206926168992,0.2907257828884668,False,29490.0,27129.0,29217.0,30359.0,0.95
1,0.45,18000,motorloss_ftcboost_m1_eta0p45_b18000.csv,True,max_brake_hold,11.30557417869568,0.0272778123617172,-1.026236057281494,1.026236057281494,0.18952435653042,2.649753332138061,0.3758333558405306,0.4514850976737601,False,29490.0,27559.0,30775.0,32007.0,0.95
1,0.45,20000,motorloss_ftcboost_m1_eta0p45_b20000.csv,True,max_brake_hold,10.503214597702026,-0.0704601183533668,-3.812488079071045,3.812488079071045,4.705575746451426,36.11735153198242,24.936459785267274,1.30953604856739,False,20931.0,65535.0,65535.0,20003.0,0.95
1,0.5,0,motorloss_ftcboost_m1_eta0p50_b0.csv,True,max_brake_hold,11.757569074630736,0.0216292049735784,-0.4419339001178741,0.4419339001178741,0.07638266076481402,0.0796567872166633,0.05524630954062315,0.10994425629692849,False,32767.0,33111.0,32291.0,31207.0,0.95
1,0.5,1000,motorloss_ftcboost_m1_eta0p50_b1000.csv,True,max_brake_hold,11.854059219360352,0.0233513303101062,-0.4294459223747253,0.4294459223747253,0.06492264211636295,0.2467261701822281,0.047293477887195186,0.11630125141372308,False,32767.0,33853.0,32157.0,32383.0,0.95
1,0.5,2000,motorloss_ftcboost_m1_eta0p50_b2000.csv,True,max_brake_hold,11.907455444335938,0.0231586303561925,-0.4196579158306122,0.4196579158306122,0.05449183680022962,0.2648208737373352,0.057313732002611285,0.11784756799935614,False,32767.0,32733.0,32109.0,31531.0,0.95
1,0.5,3000,motorloss_ftcboost_m1_eta0p50_b3000.csv,True,max_brake_hold,12.055609464645386,0.0188849996775388,-0.388289213180542,0.388289213180542,0.034289290122463414,0.3132089674472809,0.0520871725940113,0.12667256663531445,False,32767.0,32537.0,32353.0,31815.0,0.95
1,0.5,4000,motorloss_ftcboost_m1_eta0p50_b4000.csv,True,max_brake_hold,12.15593671798706,0.0241372846066951,-0.3638857007026672,0.3638857007026672,0.022115239645197526,0.1896417737007141,0.04925391923959995,0.1437723715485189,False,32767.0,32669.0,32539.0,32225.0,0.95
1,0.5,5000,motorloss_ftcboost_m1_eta0p50_b5000.csv,True,max_brake_hold,12.504738807678224,0.0190861131995916,-0.2945893406867981,0.2945893406867981,0.020641373031281263,0.1255780309438705,0.02412709464128722,0.15402694561531105,True,32767.0,32837.0,32697.0,32315.0,0.95
1,0.5,6000,motorloss_ftcboost_m1_eta0p50_b6000.csv,True,max_brake_hold,12.65439224243164,0.0293103884905576,-0.278049111366272,0.278049111366272,0.017474601000485302,0.082001231610775,0.02192903112678526,0.16230427348940113,True,32767.0,32799.0,32631.0,32315.0,0.95
