motor,threshold_name,target_safe_probability,residual_threshold_pwm,bootstrap_median_pwm,ci95_low_pwm,ci95_high_pwm,bootstrap_reps_valid
1,R10,0.1,10143.316429488083,10171.6296118194,9771.11807070772,10579.774851605069,4995
1,R50,0.5,11099.456415430372,11099.120778840537,10867.835317284154,11330.820948516795,4995
1,R90,0.9,12055.596401372659,12026.576351699217,11573.543421843768,12484.286431140925,4995
4,R10,0.1,9482.770929117461,9508.505166936066,8984.49944649762,9984.601307967652,5000
4,R50,0.5,11343.888280800436,11343.039961555482,11033.826540318545,11692.484397248421,5000
4,R90,0.9,13205.005632483415,13185.88120352801,12554.860313501626,13910.646732486484,5000
