motor,bootstrap_method,bootstrap_reps_requested,bootstrap_reps_valid,qplite_eta50,cem_eta50,observed_delta_eta50_qplite_minus_cem,delta_ci_low,delta_ci_high,bootstrap_probability_cem_lower_boundary,qplite_eta50_boot_median,cem_eta50_boot_median
1,independent_stratified_within_eta,5000,5000,0.4964601712162701,0.4953945141920288,0.0010656570242413288,0.0007722889187125603,0.001428271524988725,1.0,0.4964601480913544,0.4953884434327783
3,independent_stratified_within_eta,5000,5000,0.49542999577062186,0.4952907094944857,0.0001392862761361302,-3.211856459448685e-05,0.00045751767344073634,0.9496,0.49542770518615376,0.4952304322215176
4,independent_stratified_within_eta,5000,5000,0.4961206387502611,0.4955000000470541,0.0006206387032069993,0.00023365054203241116,0.0007506148837593665,1.0,0.4961114564883426,0.49550001175146674
