controller,motor,eta,boost,policy,r1,r2,r3,r4,rep,contact_phase,contact_z,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
event_triggered_policy_refine,2,0.497,0,m4only_12000,0,0,0,12000,1,max_brake_hold,0.0134124318137764,0.3550626933574676,0.012614586492974115,0.0150528913363814,0.014893738195865843,0.3033665504609653,False,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_12000_m4only_12000_policy_refine_rep1.csv
event_triggered_policy_refine,2,0.497,0,m4only_12000,0,0,0,12000,2,max_brake_hold,0.0267280656844377,0.3339459002017975,0.010924024364125645,0.0825539082288742,0.01300280086372868,0.3328075856527029,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_12000_m4only_12000_policy_refine_rep2.csv
event_triggered_policy_refine,2,0.497,0,m4only_12000,0,0,0,12000,3,max_brake_hold,0.0286530721932649,0.3364599347114563,0.011239117403777926,0.0417497046291828,0.015010789981688515,0.31810564900100763,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_12000_m4only_12000_policy_refine_rep3.csv
event_triggered_policy_refine,2,0.497,0,m4only_12000,0,0,0,12000,4,max_brake_hold,0.022893089801073,0.342904657125473,0.011418923889163352,0.0750951096415519,0.013930136946982166,0.32825755334366913,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_12000_m4only_12000_policy_refine_rep4.csv
event_triggered_policy_refine,2,0.497,0,m4only_12000,0,0,0,12000,5,max_brake_hold,0.0276446342468261,0.3274589776992798,0.009704159846620345,0.0885541141033172,0.012827367162901771,0.32647554048281824,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_12000_m4only_12000_policy_refine_rep5.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_12000,3000,0,3000,12000,1,max_brake_hold,0.016950823366642,0.3517380356788635,0.010250460858220697,0.0818284377455711,0.005566798301128706,0.3326945350184136,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_12000_mid_3000_0_3000_12000_policy_refine_rep1.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_12000,3000,0,3000,12000,2,max_brake_hold,0.0259448364377021,0.3493019342422485,0.00999830007198695,0.0891904085874557,0.0054159148703751495,0.3316945851884757,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_12000_mid_3000_0_3000_12000_policy_refine_rep2.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_12000,3000,0,3000,12000,3,max_brake_hold,0.0251574404537677,0.3398157358169555,0.009611497747445522,0.0961094498634338,0.006640262908391328,0.3309777486343772,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_12000_mid_3000_0_3000_12000_policy_refine_rep3.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_12000,3000,0,3000,12000,4,max_brake_hold,0.0186666790395975,0.3840244114398956,0.014594445552874782,0.0710123851895332,0.006737452823687084,0.2987416604894122,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_12000_mid_3000_0_3000_12000_policy_refine_rep4.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_12000,3000,0,3000,12000,5,max_brake_hold,0.0146428709849715,0.3256811797618866,0.007646118253905517,0.1597689837217331,0.006131491078253119,0.3714886487899905,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_12000_mid_3000_0_3000_12000_policy_refine_rep5.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_13000,3000,0,3000,13000,1,max_brake_hold,0.0247951578348875,0.3567318618297577,0.010666034468151621,0.1319554299116134,0.004476482740525358,0.3924355275821176,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_13000_mid_3000_0_3000_13000_policy_refine_rep1.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_13000,3000,0,3000,13000,2,max_brake_hold,0.0127335377037525,0.356431096792221,0.011512872085695638,0.0709546282887458,0.005736728433065118,0.35657328745639105,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_13000_mid_3000_0_3000_13000_policy_refine_rep2.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_13000,3000,0,3000,13000,3,max_brake_hold,0.0259770117700099,0.3498147428035736,0.010471599793312072,0.0732485651969909,0.005487904356705115,0.35266139175299027,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_13000_mid_3000_0_3000_13000_policy_refine_rep3.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_13000,3000,0,3000,13000,4,max_brake_hold,0.0212267693132162,0.3556209206581116,0.011282496322756906,0.0595810785889625,0.004545087211295166,0.35201817915333855,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_13000_mid_3000_0_3000_13000_policy_refine_rep4.csv
event_triggered_policy_refine,2,0.497,0,mid_3000_0_3000_13000,3000,0,3000,13000,5,max_brake_hold,0.0148788448423147,0.3590234816074371,0.01129242284773893,0.0825907588005065,0.004445161993958441,0.3583867214178792,False,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_13000_mid_3000_0_3000_13000_policy_refine_rep5.csv
