motor,eta,residual,rep,trial_seed,candidate,r1,r2,r3,r4,contact_found,safe_touchdown,contact_t,contact_phase,contact_z,fault_to_contact_s,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,file
1,0.496,8000,1,10870001,dose_r8000,0,0,8000,0,True,False,12.346091270446776,adaptive_brake,0.0258953813463449,2.4608860015869123,0.407641053199768,0.013576706778928267,0.1719694137573242,0.036956478240151136,0.2251877134123585,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870001.csv
1,0.496,8000,2,10870002,dose_r8000,0,0,8000,0,True,False,12.625720977783203,adaptive_brake,0.0280530713498592,2.500093936920168,0.3986234366893768,0.012316688360924494,0.1221405640244484,0.03585335879693368,0.19753065195196157,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870002.csv
1,0.496,8000,3,10870003,dose_r8000,0,0,8000,0,True,False,12.623893737792969,adaptive_brake,0.0216171909123659,2.3789217472076416,0.4004634916782379,0.014293332680807416,0.0931495130062103,0.040387408045182344,0.22028490077036192,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870003.csv
1,0.496,8000,4,10870004,dose_r8000,0,0,8000,0,True,False,12.406607389450071,adaptive_brake,0.0251228939741849,2.520206689834591,0.4025255143642425,0.012689157670411557,0.0977943390607833,0.03442486117949214,0.22727330384741837,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870004.csv
1,0.496,8000,5,10870005,dose_r8000,0,0,8000,0,True,False,12.465574741363524,adaptive_brake,0.0222213994711637,2.480983972549435,0.4018458425998688,0.013694277707614472,0.1203776374459266,0.03507208654931895,0.23506472616593013,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870005.csv
1,0.496,8000,6,10870006,dose_r8000,0,0,8000,0,True,False,12.2641761302948,adaptive_brake,0.0228323824703693,2.498975038528444,0.4017931520938873,0.01243966205647895,0.1089504733681678,0.034073140022405794,0.23437203343183663,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870006.csv
1,0.496,8000,7,10870007,dose_r8000,0,0,8000,0,True,False,12.42484211921692,adaptive_brake,0.0221218615770339,2.45996403694153,0.4022318124771118,0.013771179009680362,0.1568834483623504,0.03612100050666438,0.23118486488734755,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870007.csv
1,0.496,8000,8,10870008,dose_r8000,0,0,8000,0,True,False,12.367424011230469,adaptive_brake,0.0257617197930812,2.441019296646118,0.407565712928772,0.014595623137655106,0.1567602902650833,0.03489290192597472,0.2241352966905157,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870008.csv
1,0.496,8000,9,10870009,dose_r8000,0,0,8000,0,True,False,12.44562578201294,adaptive_brake,0.026139298453927,2.458801746368408,0.3953246474266052,0.013412392495440455,0.109722763299942,0.03555313369290584,0.21745677104462935,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870009.csv
1,0.496,8000,10,10870010,dose_r8000,0,0,8000,0,True,False,12.565755367279053,adaptive_brake,0.0260003693401813,2.5001375675201416,0.4090811908245086,0.01363077250200245,0.0983255356550216,0.03445660639648035,0.20299820203273808,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870010.csv
1,0.496,8000,11,10870011,dose_r8000,0,0,8000,0,True,False,12.24443793296814,adaptive_brake,0.0285634379833936,2.4411299228668213,0.3916555941104889,0.014393545432235082,0.0932772383093833,0.03821430454771797,0.24960312804310958,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870011.csv
1,0.496,8000,12,10870012,dose_r8000,0,0,8000,0,True,False,12.36592435836792,adaptive_brake,0.0219113491475582,2.4585623741149902,0.4152010381221771,0.014459906411685049,0.1910684257745742,0.03551207935059118,0.22579081244281574,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870012.csv
1,0.496,8000,13,10870013,dose_r8000,0,0,8000,0,True,False,12.644243240356444,adaptive_brake,0.0284271035343408,2.4407193660736084,0.3988602757453918,0.013875447291166763,0.1479306071996688,0.03693257668145513,0.2517544613254623,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870013.csv
1,0.496,8000,14,10870014,dose_r8000,0,0,8000,0,True,False,12.647218465805054,adaptive_brake,0.028823509812355,2.44246554374695,0.3949654996395111,0.014122306427398739,0.103006437420845,0.036307807043515876,0.25675484118069586,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870014.csv
1,0.496,8000,15,10870015,dose_r8000,0,0,8000,0,True,False,12.507761478424072,adaptive_brake,0.0274239610880613,2.4412689208984357,0.403675228357315,0.014249274676496563,0.1302133202552795,0.03491201508706911,0.21110972329226485,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870015.csv
1,0.496,8000,16,10870016,dose_r8000,0,0,8000,0,True,False,12.564204931259155,adaptive_brake,0.0227949172258377,2.4588346481323224,0.3997223079204559,0.013956083882725819,0.1329585313796997,0.035081814946893636,0.2358975905356724,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870016.csv
1,0.496,8000,17,10870017,dose_r8000,0,0,8000,0,True,False,12.387714624404907,adaptive_brake,0.0270300023257732,2.5009610652923584,0.3882093131542206,0.011768663057360122,0.0854732394218444,0.03240320544799689,0.23099488859829156,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870017.csv
1,0.496,8000,18,10870018,dose_r8000,0,0,8000,0,True,False,12.666177034378052,adaptive_brake,0.0284741595387458,2.4999849796295166,0.4072701036930084,0.012560016013058584,0.1367288380861282,0.032987825637273566,0.22715545768756784,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870018.csv
1,0.496,8000,19,10870019,dose_r8000,0,0,8000,0,True,False,12.625302076339722,adaptive_brake,0.0231795608997344,2.480900287628174,0.4139207601547241,0.014462313557687484,0.1485571861267089,0.03651505198152831,0.21759833269534673,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870019.csv
1,0.496,8000,20,10870020,dose_r8000,0,0,8000,0,True,False,12.45369005203247,adaptive_brake,0.0289136078208684,2.4987030029296875,0.4058184623718261,0.013171727537734962,0.112690269947052,0.03556057252518411,0.21015906309053986,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870020.csv
1,0.496,8000,21,10870021,dose_r8000,0,0,8000,0,True,False,12.665643453598022,adaptive_brake,0.0292205065488815,2.4407622814178467,0.3894423246383667,0.014166653936450285,0.0871095284819603,0.03605985598586871,0.2197221511492045,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870021.csv
1,0.496,8000,22,10870022,dose_r8000,0,0,8000,0,True,False,12.569596529006958,adaptive_brake,0.0282850787043571,2.4603352546691895,0.389590173959732,0.014013934664772746,0.0972177386283874,0.0344900368268049,0.2111177082245565,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870022.csv
1,0.496,8000,23,10870023,dose_r8000,0,0,8000,0,True,False,12.643982410430908,adaptive_brake,0.023135807365179,2.5010597705841064,0.410692423582077,0.013293363864271605,0.1603352129459381,0.034105855389503344,0.24703707961133736,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870023.csv
1,0.496,8000,24,10870024,dose_r8000,0,0,8000,0,True,False,12.665764331817629,adaptive_brake,0.0282725896686315,2.479952812194824,0.4069500565528869,0.013332588143886574,0.1395650058984756,0.03533028582079935,0.23251472444937438,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870024.csv
1,0.496,8000,25,10870025,dose_r8000,0,0,8000,0,True,False,12.286829710006714,adaptive_brake,0.0236155707389116,2.420027017593384,0.4034796059131622,0.014542450868455244,0.1382046639919281,0.03742516358892675,0.2183597946962912,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870025.csv
1,0.496,8000,26,10870026,dose_r8000,0,0,8000,0,True,False,12.565215826034546,adaptive_brake,0.0279486812651157,2.4821004867553693,0.3806225657463074,0.012990804679210306,0.0697957873344421,0.03350258824320398,0.23319865205034934,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870026.csv
1,0.496,8000,27,10870027,dose_r8000,0,0,8000,0,True,False,12.451339960098268,adaptive_brake,0.0243111867457628,2.5206646919250506,0.401993989944458,0.011572200784415378,0.1101433336734771,0.03611864627812173,0.21536719611333932,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870027.csv
1,0.496,8000,28,10870028,dose_r8000,0,0,8000,0,True,False,12.625614643096924,adaptive_brake,0.0259137731045484,2.4395530223846436,0.4013340473175049,0.01385860099553651,0.195848748087883,0.033975523052682484,0.20922816745871786,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870028.csv
1,0.496,8000,29,10870029,dose_r8000,0,0,8000,0,True,False,12.705198764801024,adaptive_brake,0.0258714184165,2.521157026290892,0.411464661359787,0.012017094060019117,0.179552674293518,0.03684200094475243,0.21883449022749557,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870029.csv
1,0.496,8000,30,10870030,dose_r8000,0,0,8000,0,True,False,12.424798488616943,adaptive_brake,0.0218554120510816,2.4390220642089826,0.4093595147132873,0.01414350915821667,0.1602345257997512,0.035653680841948386,0.20378291143731275,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r8000_seed10870030.csv
1,0.496,9000,1,10970001,dose_r9000,0,0,9000,0,True,False,12.665448665618896,adaptive_brake,0.0258984677493572,2.560107469558716,0.3864458501338959,0.01649543081716464,0.103601336479187,0.03466414887883793,0.24737356697345836,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970001.csv
1,0.496,9000,2,10970002,dose_r9000,0,0,9000,0,True,False,12.644335746765137,adaptive_brake,0.0281096044927835,2.620500326156616,0.3849391341209411,0.01671125352618447,0.1651425212621688,0.03139179515926682,0.2580748293397413,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970002.csv
1,0.496,9000,3,10970003,dose_r9000,0,0,9000,0,True,False,12.744791030883787,adaptive_brake,0.0284681990742683,2.6408934593200666,0.3888274729251861,0.013564679339495666,0.0969216004014015,0.030692312871163148,0.2106296545300198,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970003.csv
1,0.496,9000,4,10970004,dose_r9000,0,0,9000,0,True,False,12.42851996421814,adaptive_brake,0.0264810733497142,2.579166889190674,0.3785226047039032,0.01747216191962528,0.1464253962039947,0.032103819584379335,0.2153388956361707,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970004.csv
1,0.496,9000,5,10970005,dose_r9000,0,0,9000,0,True,False,12.804596424102783,adaptive_brake,0.0277548506855964,2.6397452354431152,0.3822534680366516,0.014682769562401339,0.1337236315011978,0.030013864405003643,0.25317087256014154,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970005.csv
1,0.496,9000,6,10970006,dose_r9000,0,0,9000,0,True,False,12.76558518409729,adaptive_brake,0.0271757021546363,2.679912567138672,0.3775084614753723,0.013447709702889743,0.1279858499765396,0.03059141520347921,0.23425442046787376,qp_event_allocator_m1_eta0p496_seededdose_m1_eta0p496_r9000_seed10970006.csv
