pattern,r1,r2,r3,r4,n,mean_vz,std_vz,min_vz,max_vz,mean_hspeed,mean_tilt,mean_drift,max_drift,safe_count
r4dom_3000_9000_3000,3000,0,3000,9000,3,0.3001461128393809,0.06082859920812254,0.2299263179302215,0.3366715610027313,0.009532999888748688,0.2253452862302462,0.3247119263678217,0.4692152497592282,3
r4only_10000,0,0,0,10000,3,0.33527432878812147,0.009703517924444642,0.3247694373130798,0.3439022302627563,0.009273146056251897,0.0843237737814585,0.2715619103068148,0.27638070661885816,3
r1r3_light_r4_heavy,2000,0,2000,12000,3,0.3440619309743245,0.003099056432075733,0.3413127958774566,0.3474203944206238,0.010258923185086888,0.08376345038413997,0.3296886562629126,0.3356099448484463,3
r4dom_5000_11000_5000,5000,0,5000,11000,3,0.35743066668510437,0.02687248090089294,0.3406984508037567,0.3884276151657104,0.0112516225718858,0.0693788106242815,0.2936163251926966,0.3029201407179664,2
r3_light_r4_heavy,0,0,2000,12000,3,0.5299534598986307,0.32110961223418605,0.3442957699298858,0.9007387757301332,0.01766938898038727,0.32093789428472513,0.40016303570079864,0.5182121809569237,2
