boost,t_contact,z_contact,vz_contact,m1_contact,m2_contact,m3_contact,m4_contact,m1_max,m2_max,m3_max,m4_max,roll_contact,pitch_contact,yaw_contact,drift
0,10.654446363449097,0.0215425565838813,-1.2150908708572388,29490.0,29745.0,27439.0,29369.0,29490.0,30121.0,32503.0,33283.0,-0.0536162629723548,2.9221444129943848,10.216316223144531,0.1772583892269408
5000,10.705199480056764,0.0216104984283447,-1.1877751350402832,29490.0,28173.0,28225.0,28375.0,29490.0,28545.0,32485.0,33485.0,0.0205046348273754,1.953479886054993,11.40778923034668,0.20872561309514356
8000,10.753456830978394,0.0216919668018817,-1.1531955003738403,29490.0,28107.0,28793.0,28945.0,29490.0,31419.0,32909.0,33857.0,0.2275189757347107,1.3570445775985718,12.0349760055542,0.22891538511630355
10000,10.803995132446287,-0.0089101623743772,-1.231310248374939,29490.0,30015.0,28755.0,31379.0,29490.0,31449.0,33241.0,34447.0,0.8003643751144409,0.5834423899650574,12.279261589050291,0.24113937830956614
12000,10.805270910263062,0.0066909715533256,-1.1566588878631592,29490.0,27669.0,28969.0,29511.0,29490.0,31833.0,33773.0,35487.0,1.1448211669921875,0.6720433831214905,12.816030502319336,0.25639772925120713
14000,10.856503248214722,-0.0157200153917074,-1.231230616569519,29490.0,27279.0,29163.0,30087.0,29490.0,28947.0,33877.0,35057.0,1.442613959312439,0.1818844974040985,13.078556060791016,0.2807957251160932
16000,10.856469631195068,0.0016309526981785,-1.0168774127960205,29490.0,27129.0,29217.0,30359.0,29490.0,31127.0,34951.0,38181.0,1.8520605564117432,-0.0575999580323696,13.462738037109377,0.2907257828884668
18000,11.30557417869568,0.0272778123617172,-1.026236057281494,29490.0,27559.0,30775.0,32007.0,29490.0,43723.0,53885.0,47529.0,-2.649753332138061,-1.4976823329925537,11.749160766601562,0.4514850976737601
20000,10.503214597702026,-0.0704601183533668,-3.812488079071045,20931.0,65535.0,65535.0,20003.0,29490.0,65535.0,65535.0,65535.0,16.714696884155273,36.11735153198242,-41.315223693847656,1.30953604856739
