round,condition_id,parameter,factor,bracket_low,bracket_high,midpoint_eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,majority_safe,decision,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,mean_angular_rate_radps
1,mass_minus10,mass,0.90,0.400000,0.450000,0.425000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,5,5,5,0,3.572709846496582,30.625541973894318
1,mass_plus10,mass,1.10,0.500000,0.550000,0.525000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.8345460891723633,0.8808058480875346
1,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,0.575000,5,5,5,5,5,1.0,True,midpoint_majority_safe,0,0,0,0,0,0.0820604383945465,0.002487635820410658
1,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,0.475000,5,5,5,5,5,1.0,True,midpoint_majority_safe,0,0,0,0,0,0.08154965192079544,0.001871753178607012
1,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.937489926815033,0.9951619914946735
1,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.940727686882019,0.9970511757526748
1,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.9391968488693238,0.9612295003770126
1,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.9276177048683166,1.0291653856000318
1,arm_length_minus10,arm_length,0.90,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.9382475018501282,1.0130051126771886
1,arm_length_plus10,arm_length,1.10,0.450000,0.500000,0.475000,5,5,5,5,0,0.0,False,midpoint_majority_unsafe,5,0,0,0,0,0.9476245641708374,0.9718431664299121
