round,condition_index,condition_id,parameter,factor,bracket_low,bracket_high,controller,motor,eta,rep,trial_seed,protocol_id,ofat_protocol_id
1,1,mass_minus10,mass,0.90,0.400000,0.450000,pinv,2,0.425000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,1,mass_minus10,mass,0.90,0.400000,0.450000,pinv,2,0.425000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,1,mass_minus10,mass,0.90,0.400000,0.450000,pinv,2,0.425000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,1,mass_minus10,mass,0.90,0.400000,0.450000,pinv,2,0.425000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,1,mass_minus10,mass,0.90,0.400000,0.450000,pinv,2,0.425000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,2,mass_plus10,mass,1.10,0.500000,0.550000,pinv,2,0.525000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,2,mass_plus10,mass,1.10,0.500000,0.550000,pinv,2,0.525000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,2,mass_plus10,mass,1.10,0.500000,0.550000,pinv,2,0.525000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,2,mass_plus10,mass,1.10,0.500000,0.550000,pinv,2,0.525000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,2,mass_plus10,mass,1.10,0.500000,0.550000,pinv,2,0.525000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,pinv,2,0.575000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,pinv,2,0.575000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,pinv,2,0.575000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,pinv,2,0.575000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.600000,pinv,2,0.575000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,5,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,5,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,5,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,5,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,5,motor_time_constant_minus10,motor_time_constant,0.90,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,6,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,6,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,6,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,6,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,6,motor_time_constant_plus10,motor_time_constant,1.10,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,9,arm_length_minus10,arm_length,0.90,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,9,arm_length_minus10,arm_length,0.90,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,9,arm_length_minus10,arm_length,0.90,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,9,arm_length_minus10,arm_length,0.90,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,9,arm_length_minus10,arm_length,0.90,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,10,arm_length_plus10,arm_length,1.10,0.450000,0.500000,pinv,2,0.475000,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,10,arm_length_plus10,arm_length,1.10,0.450000,0.500000,pinv,2,0.475000,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,10,arm_length_plus10,arm_length,1.10,0.450000,0.500000,pinv,2,0.475000,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,10,arm_length_plus10,arm_length,1.10,0.450000,0.500000,pinv,2,0.475000,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
1,10,arm_length_plus10,arm_length,1.10,0.450000,0.500000,pinv,2,0.475000,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
