motor,controller,n,safe_count,mean_fault_to_contact_s,std_fault_to_contact_s,mean_touchdown_vz,std_touchdown_vz,mean_peak_abs_vz,std_peak_abs_vz,mean_abs_vz,mean_integral_abs_vz_dt,mean_max_pwm,max_pwm
1,cem,30,30,3.1028058528900146,0.06889279309045969,0.33452130754788717,0.007942948957422912,0.33452130754788717,0.007942948957422912,0.22213714408502888,0.6905192147473921,33773.65265728447,39849.0
1,qplite,30,4,2.728662649790446,0.05498686986412713,0.3646983732779821,0.01178347555456409,0.3646983732779821,0.01178347555456409,0.2512938455427753,0.6872556633358092,33661.20457981399,39123.0
4,cem,30,29,3.6053648630777997,0.09181433282353824,0.3390352616707484,0.006998526830698677,0.3390352616707484,0.006998526830698677,0.19041900501155778,0.687405704836475,33679.927513763265,40105.0
4,qplite,30,5,3.1209522485733032,0.07752510248057769,0.36062913537025454,0.011614220361539586,0.36062913537025454,0.011614220361539586,0.22063519392101005,0.6898189217460948,33570.97596358142,39617.0
