motor,controller,trial_seed,candidate,file,fault_to_contact_s,touchdown_vertical_speed_mps,peak_abs_vz_postfault,mean_abs_vz_postfault,integral_abs_vz_dt,max_motor_pwm_postfault,mean_max_motor_pwm_postfault,mean_motor_m1,mean_motor_m2,mean_motor_m3,mean_motor_m4,safe_touchdown
1,cem,19980001,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980001.csv,3.1018726825714094,0.3410252630710602,0.3410252630710602,0.2234178541154229,0.6947617321143957,39337.0,33738.077253218886,32230.109442060086,30982.982832618025,32594.849785407725,33728.88412017167,True
1,cem,19980002,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980002.csv,3.0810303688049316,0.3439726531505584,0.3439726531505584,0.22581464301726376,0.6972390003124889,39481.0,33925.07343412527,32232.19654427646,31156.6717062635,32561.691144708424,33919.72138228942,True
1,cem,19980003,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980003.csv,3.098815441131592,0.3449339270591736,0.3449339270591736,0.22344891613153461,0.6939745904109906,39611.0,33782.36480686695,32239.09227467811,31082.40772532189,32486.06008583691,33761.42918454936,True
1,cem,19980004,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980004.csv,3.1609578132629395,0.3188942670822143,0.3188942670822143,0.21483733748330883,0.680342787937363,39079.0,33681.25473684211,32269.01052631579,30705.583157894736,32668.526315789473,33460.530526315786,True
1,cem,19980005,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980005.csv,3.060796499252321,0.330125629901886,0.330125629901886,0.2195916099539634,0.6734518128355422,39643.0,33817.60434782608,32224.152173913044,30950.21304347826,32569.00434782609,33808.565217391304,True
1,cem,19980006,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980006.csv,3.0407416820526123,0.3319820761680603,0.3319820761680603,0.21946332655099163,0.6685390451819846,39629.0,33826.60831509847,32261.849015317286,30977.75054704595,32620.757111597373,33732.57330415755,True
1,cem,19980007,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980007.csv,3.0599076747894305,0.3355199992656708,0.3355199992656708,0.22272867203548388,0.682833579956151,39429.0,33845.034782608695,32250.91956521739,31068.808695652173,32593.834782608697,33807.62173913044,True
1,cem,19980008,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980008.csv,3.0600619316101074,0.3285582661628723,0.3285582661628723,0.22159491711215157,0.6796010057713421,39305.0,33657.34130434783,32267.60652173913,30500.263043478262,32648.502173913042,33345.889130434785,True
1,cem,19980009,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980009.csv,3.060070276260376,0.3275552093982696,0.3275552093982696,0.22099797376330294,0.6780526287763948,39609.0,33855.25652173913,32225.16739130435,31037.956521739132,32630.513043478262,33851.37826086956,True
1,cem,19980010,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980010.csv,3.1600377559661883,0.333672285079956,0.333672285079956,0.22206876996316408,0.7033677238169762,39319.0,33788.16631578947,32232.031578947368,31025.538947368423,32577.366315789473,33778.0147368421,True
1,cem,19980011,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980011.csv,3.158987045288084,0.331708014011383,0.331708014011383,0.22182256222016325,0.7019189796534262,39613.0,33837.84842105263,32254.18105263158,30830.85052631579,32612.74947368421,33655.48631578947,True
1,cem,19980012,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980012.csv,3.158852338790892,0.327679693698883,0.327679693698883,0.219031814377951,0.6933866540969165,39343.0,33650.91368421053,32266.597894736842,30580.753684210526,32653.595789473686,33333.56210526316,True
1,cem,19980013,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980013.csv,3.1808829307556152,0.3361386954784393,0.3361386954784393,0.2201911236152684,0.7017496310749269,39849.0,34002.26778242678,32280.594142259415,31006.405857740585,32642.619246861923,33875.284518828455,True
1,cem,19980014,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980014.csv,2.9586911201477033,0.316166341304779,0.316166341304779,0.22650829015896143,0.6715486010812911,39393.0,33767.3595505618,32173.737078651684,30791.260674157304,32597.876404494382,33741.269662921346,True
1,cem,19980015,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980015.csv,3.1799697875976562,0.3233824968338012,0.3233824968338012,0.21626905449149764,0.6889708758952533,39551.0,33705.715481171545,32256.6589958159,30642.121338912133,32648.7949790795,33403.23012552301,True
1,cem,19980016,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980016.csv,3.018941164016722,0.3423652052879333,0.3423652052879333,0.22575105929855946,0.6833337879271582,39473.0,33809.01321585903,32225.270925110133,31056.079295154184,32548.33920704846,33793.56828193833,True
1,cem,19980017,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980017.csv,3.1200201511383057,0.3398310542106628,0.3398310542106628,0.22187385703228527,0.6936666199321846,39447.0,33910.253731343284,32250.571428571428,31078.5223880597,32541.9381663113,33809.9722814499,True
1,cem,19980018,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980018.csv,2.8828606605529803,0.3473283350467682,0.3473283350467682,0.23885674789380154,0.689814870726462,39249.0,33695.773672055424,32185.332563510394,30634.272517321016,32491.293302540416,33585.38106235566,True
1,cem,19980019,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980019.csv,3.0986759662628174,0.3387675881385803,0.3387675881385803,0.22258549877452413,0.691034315031781,38905.0,33654.11373390558,32260.356223175964,30574.757510729614,32661.388412017168,33347.13948497854,True
1,cem,19980020,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980020.csv,3.140258312225342,0.3346583545207977,0.3346583545207977,0.21972779291080138,0.6913832056905523,39569.0,33876.6906779661,32247.165254237287,31047.868644067796,32574.813559322032,33791.161016949154,True
1,cem,19980021,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980021.csv,3.08030104637146,0.3284714818000793,0.3284714818000793,0.21810827577701863,0.6735999592393519,39425.0,33882.04319654428,32208.693304535638,31085.917926565875,32606.095032397407,33870.36717062635,True
1,cem,19980022,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980022.csv,3.1618506908416766,0.3454422950744629,0.3454422950744629,0.2250355138418902,0.7130708104127931,39489.0,33626.54947368421,32266.475789473683,30593.25894736842,32618.614736842104,33287.85263157895,True
