parameter,nominal_ed50,minus10_ed50,minus10_delta_ed50,minus10_delta_ci95_low,minus10_delta_ci95_high,plus10_ed50,plus10_delta_ed50,plus10_delta_ci95_low,plus10_delta_ci95_high,plus_minus_span,max_abs_delta_ed50,asymmetry_sum
thrust_coefficient,0.49557483823654325,0.5505208554653591,0.05494601722881587,0.05490725693696844,0.05498374661144034,0.4501997763034482,-0.04537506193309504,-0.04551648636042843,-0.04523701631552553,-0.10032107916191091,0.05494601722881587,0.009570955295720829
mass,0.49557483823654325,0.44843749996499394,-0.04713733827154931,-0.04717609856339674,-0.04709960888892484,0.5453125000349762,0.049737661798432975,0.04969890150658555,0.04977539118105745,0.09687500006998229,0.049737661798432975,0.0026003235268836633
motor_time_constant,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,0.49517095386907406,-0.0004038843674691872,-0.0005582888579941297,-0.00028726013478276997,-0.0001415461659022288,0.0004038843674691872,-0.0006662225690361456
arm_length,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,0.4953956286581761,-0.00017920957836714546,-0.00029192952047570053,-7.17450722886218e-05,8.312862319981296e-05,0.0002623382015669584,-0.0004415477799341039
thrust_to_torque_ratio,0.49557483823654325,0.4954857859837867,-8.90522527565718e-05,-0.00025953328448987957,2.7702315201863484e-05,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,-0.00017328594881038661,0.0002623382015669584,-0.0003513904543235302
