condition_id,parameter,factor,nominal_ed50,condition_ed50,delta_ed50,delta_ed50_ci95_low,delta_ed50_ci95_high,interpretation
mass_minus10,mass,0.9,0.49557483823654325,0.44843749996499394,-0.04713733827154931,-0.04717609856339674,-0.04709960888892484,improved_fault_tolerance
mass_plus10,mass,1.1,0.49557483823654325,0.5453125000349762,0.049737661798432975,0.04969890150658555,0.04977539118105745,reduced_fault_tolerance
thrust_coefficient_minus10,thrust_coefficient,0.9,0.49557483823654325,0.5505208554653591,0.05494601722881587,0.05490725693696844,0.05498374661144034,reduced_fault_tolerance
thrust_coefficient_plus10,thrust_coefficient,1.1,0.49557483823654325,0.4501997763034482,-0.04537506193309504,-0.04551648636042843,-0.04523701631552553,improved_fault_tolerance
motor_time_constant_minus10,motor_time_constant,0.9,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance
motor_time_constant_plus10,motor_time_constant,1.1,0.49557483823654325,0.49517095386907406,-0.0004038843674691872,-0.0005582888579941297,-0.00028726013478276997,improved_fault_tolerance
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.9,0.49557483823654325,0.4954857859837867,-8.90522527565718e-05,-0.00025953328448987957,2.7702315201863484e-05,improved_fault_tolerance
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.1,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance
arm_length_minus10,arm_length,0.9,0.49557483823654325,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance
arm_length_plus10,arm_length,1.1,0.49557483823654325,0.4953956286581761,-0.00017920957836714546,-0.00029192952047570053,-7.17450722886218e-05,improved_fault_tolerance
