sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
57,3,17,35280017,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280017,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280017.csv
58,4,13,45280013,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280013,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280013.csv
59,3,18,35280018,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280018,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280018.csv
60,4,14,45280014,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280014,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280014.csv
61,3,19,35280019,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280019,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280019.csv
62,4,15,45280015,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280015,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280015.csv
63,4,16,45280016,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280016,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280016.csv
64,4,17,45280017,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280017,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280017.csv
65,1,15,15280015,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280015,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280015.csv
66,4,18,45280018,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280018,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280018.csv
67,3,20,35280020,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280020,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280020.csv
