sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,runtime_controller,source_csv,rows,fault_z,fault_vz,contact_t,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
91,2,21,25280021,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280021.csv,4200,0.7005390524864197,-0.0037667276337742805,15.207732915878296,True,0.32563063502311707,0.024369364976882912,0.008084379365662524,0.030493538826704025,0.07884358221564321,0.03040666036624528,True,True,True,True,True
92,2,22,25280022,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280022.csv,4161,0.7029270529747009,-0.004172525368630886,14.933662414550781,True,0.32470703125,0.025292968749999978,0.007985393862868327,0.026698917150497437,0.07456848555508346,0.013277935930036969,True,True,True,True,True
93,4,24,45280024,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280024.csv,4179,0.7279795408248901,-0.0040062302723526955,13.446393489837646,False,0.3536839783191681,-0.003683978319168113,0.019889223199113407,0.024311702698469162,0.020709814247187753,0.32487626633831873,False,True,True,True,True
94,1,24,15280024,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280024.csv,4206,0.7051070928573608,-0.0037494702264666557,13.185971975326538,True,0.32947787642478943,0.02052212357521055,0.021412576589756715,0.19332534074783325,0.02326231936418998,0.31301907446059124,True,True,True,True,True
95,3,25,35280025,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280025.csv,4194,0.7025740146636963,-0.0035598454996943474,13.008648872375488,True,0.33567801117897034,0.014321988821029641,0.024548508603521726,0.10643260926008224,0.023577736394255287,0.3063038251522941,True,True,True,True,True
96,2,23,25280023,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280023.csv,4227,0.7292218804359436,-0.003693033242598176,15.508302450180054,True,0.3267711400985718,0.0232288599014282,0.007155210290728915,0.020326679572463036,0.07457608369404224,0.020785163632449893,True,True,True,True,True
97,3,26,35280026,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280026.csv,4212,0.7126481533050537,-0.00354127399623394,13.245320320129395,True,0.3285621404647827,0.021437859535217263,0.02560174377703407,0.19602446258068085,0.022979403829435616,0.30863669732970217,True,True,True,True,True
98,4,25,45280025,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280025.csv,4206,0.7044293880462646,-0.003740350715816021,13.646590948104858,True,0.33601444959640503,0.013985550403594948,0.01974081473185226,0.037461698055267334,0.01964627939321447,0.3077160743292697,True,True,True,True,True
99,1,25,15280025,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280025.csv,4227,0.7143266201019287,-0.0037800397258251905,13.54328203201294,True,0.3131161630153656,0.03688383698463438,0.02270441810282149,0.22040079534053802,0.021569958168838946,0.31327378845734055,True,True,True,True,True
100,2,24,25280024,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280024.csv,4206,0.7075226902961731,-0.003620876232162118,15.265241622924805,True,0.32361263036727905,0.026387369632720925,0.00801917813439008,0.01702875643968582,0.07622844604894342,0.014411209275308666,True,True,True,True,True
101,2,25,25280025,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280025.csv,4212,0.7033067941665649,-0.003565278835594654,15.325600862503052,True,0.32832154631614685,0.021678453683853127,0.007875149801607539,0.02313004434108734,0.09330618613456501,0.0364145456861074,True,True,True,True,True
102,4,26,45280026,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280026.csv,4218,0.7168313264846802,-0.003781072562560439,13.78562307357788,True,0.333992600440979,0.016007399559020974,0.020937755910211044,0.11352310329675674,0.018512212273233446,0.3530616530501903,True,True,True,True,True
