sequence_index,motor,trial_seed,selected_policy,runtime_controller,allocator_config,selected_candidate,fault_t,fault_x,fault_y,fault_z,fault_vx,fault_vy,fault_vz,fault_horizontal_speed,fault_horizontal_offset,fault_roll_deg,fault_pitch_deg,fault_max_motor_pwm,contact_t,fault_to_contact_s,contact_vertical_speed_mps,vertical_speed_excess_mps,contact_horizontal_speed_mps,contact_drift_m,contact_max_tilt_deg,contact_angular_rate_radps,r1,r2,r3,r4,qp_score,qp_predicted_vz,prediction_error_actual_minus_predicted,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok,source_csv
18,4,45280005,cem_tuned_qplite,qplite,cem_tuned_boundary,opp_m2_12000,10.086186408996582,-0.0273587666451931,0.023262539878487587,0.7117647528648376,0.0002151673979824409,0.000362345774192363,-0.003738557919859886,0.00042141602868139345,0.035911667657522614,-0.0016221473924815655,0.008853474631905556,32763.0,13.505992889404297,3.419806480407715,0.3711581528186798,0.021158152818679832,0.02092186567199409,0.30042238142091393,0.055640608072280884,0.01975510607668529,0,12000,0,0,5.73871124581079,0.3476,0.02355815281867979,False,True,True,True,True,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280005.csv
30,1,15280008,cem_tuned_qplite,qplite,cem_tuned_boundary,opp_m3_12000,9.824222326278687,-0.003978392109274864,0.015510567463934422,0.7325239777565002,-0.0004884763620793819,-0.00012855212844442576,-0.004371198359876871,0.0005051087071491637,0.016012660829118987,0.0044564614072442055,-0.01623518019914627,32774.0,12.764264822006226,2.940042495727539,0.35518109798431396,0.005181097984313987,0.02142350361805421,0.27366598619996896,0.10100366175174713,0.02300500051439291,0,0,12000,0,5.73871124581079,0.3476,0.007581097984313945,False,True,True,True,True,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280008.csv
71,4,45280021,cem_tuned_qplite,qplite,cem_tuned_boundary,opp_m2_12000,10.045360326766968,-0.028893614187836647,-0.02817240171134472,0.7060986161231995,-0.0005284197395667434,5.248633897281252e-05,-0.003863200545310974,0.0005310199967445236,0.040354989270484684,0.013972628861665726,-0.010874089784920216,32761.0,13.449128150939941,3.4037678241729736,0.35613149404525757,0.0061314940452575906,0.02001281139366652,0.2616281702418758,0.02724386192858219,0.02113334589998799,0,12000,0,0,5.73871124581079,0.3476,0.008531494045257548,False,True,True,True,True,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280021.csv
93,4,45280024,cem_tuned_qplite,qplite,cem_tuned_boundary,opp_m2_12000,9.906642436981201,0.017249884083867073,0.0020415261387825012,0.7279795408248901,-0.00036639318568632007,-0.00028577898046933115,-0.0040062302723526955,0.0004646650322495341,0.017370271439507867,-0.005799110978841782,-0.017551185563206673,32777.0,13.446393489837646,3.5397510528564453,0.3536839783191681,0.003683978319168113,0.019889223199113407,0.32487626633831873,0.024311702698469162,0.020709814247187753,0,12000,0,0,5.73871124581079,0.3476,0.006083978319168071,False,True,True,True,True,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280024.csv
109,4,45280028,cem_tuned_qplite,qplite,cem_tuned_boundary,opp_m2_12000,9.84199833869934,0.018457306548953056,0.02883167378604412,0.70294588804245,5.640917879645713e-05,1.4789296074013691e-05,-0.0037480832543224096,5.831568168902345e-05,0.03423357384712979,-0.0027509471401572227,0.0035721370950341225,32751.0,14.516192197799683,4.674193859100342,0.39882373809814453,0.04882373809814455,0.023164489217770406,0.2527102504825207,0.45101913809776306,0.015173944682639788,0,12000,0,0,5.73871124581079,0.3476,0.05122373809814451,False,True,True,True,True,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280028.csv
