condition_id,parameter,factor,plant_sha256,controller,controller_order,motor,eta,rep,trial_seed,protocol_id,experiment_protocol_id,tag,ic_protocol,internal_controller,source_csv,row_count,allocator_config,selected_candidate,r1,r2,r3,r4,fault_z,fault_vz,valid_prefault,contact_found,contact_t,contact_phase,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,max_angular_rate_radps,max_horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,tilt_ok,angular_rate_ok,drift_ok,safe_touchdown
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,6,63400006,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400006,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400006.csv,4215,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7300983667373657,-0.0035799196921288967,True,True,14.243614912033081,adaptive_brake,0.35532650351524353,0.014350106204916854,8.476821899414062,1.5627135349665628,0.33293907544760776,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,6,63400006,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400006,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400006.csv,4212,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.730169415473938,-0.004061054904013872,True,True,15.412760734558105,adaptive_brake,0.32862719893455505,0.007855044561055846,0.11593705415725708,0.2822964341875059,0.020534002028051262,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,7,63400007,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400007,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400007.csv,4230,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7165214419364929,-0.003746205708011985,True,True,15.451422452926636,adaptive_brake,0.33093154430389404,0.007555800671646291,0.122383713722229,0.29835924093456706,0.02178262611554705,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,7,63400007,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400007,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400007.csv,4227,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7166445255279541,-0.0035613614600151777,True,True,14.299339056015015,adaptive_brake,0.35551729798316956,0.016129810863088425,8.499631881713867,1.5595134837589288,0.34366901132003735,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,8,63400008,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400008,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400008.csv,4206,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.720757782459259,-0.004013503901660442,True,True,13.924145698547363,adaptive_brake,0.38232332468032837,0.01721167113956947,8.531951904296875,1.5727595909158154,0.31133487481124095,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,8,63400008,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400008,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400008.csv,4209,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7208462953567505,-0.003956274129450321,True,True,15.30492353439331,adaptive_brake,0.3318832516670227,0.007784209368238202,0.11204275488853455,0.3026040752472697,0.018829423358447263,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,9,63400009,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400009,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400009.csv,4161,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.7281500101089478,-0.004113052040338516,True,True,15.025293588638306,adaptive_brake,0.33455711603164673,0.007886199327525276,0.11370652914047241,0.30148652513520025,0.0209167640565707,True,True,True,True,True,True
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,9,63400009,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400009,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400009.csv,4161,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7281415462493896,-0.004205907694995403,True,True,13.806913137435913,adaptive_brake,0.3660128712654114,0.014913827542451949,8.483720779418945,1.5431704494364233,0.32697506401932164,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,10,63400010,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400010,seeded_ic_v1,qplite,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_cem_eta0p496_seed63400010.csv,4179,cem_tuned_boundary,balanced_3000_0_3000_12000,3000,0,3000,12000,0.7291061878204346,-0.003972176928073168,True,True,13.90559458732605,adaptive_brake,0.3642517328262329,0.013243737725203304,8.468597412109375,1.587001395759288,0.3134561584095353,False,True,True,False,True,False
nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,10,63400010,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400010,seeded_ic_v1,pinv,/home/suhas/crazysim_ws/safe-landing-ftc/results/final/model_sensitivity/ofat/m2_routing_stability_eta0p496/trials/m2route_nominal_pinv_eta0p496_seed63400010.csv,4179,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,bounded_fault_aware_wls,0,0,0,0,0.729273796081543,-0.004002972971647978,True,True,15.167047262191772,adaptive_brake,0.33227717876434326,0.007284073887597958,0.1265278309583664,0.2961909110815328,0.021215826494422045,True,True,True,True,True,True
