condition_index,condition_id,parameter,factor,plant_sha256,controller,controller_order,motor,eta,rep,trial_seed,protocol_id,experiment_protocol_id,tag
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,13,63400013,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400013
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,13,63400013,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400013
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,14,63400014,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400014
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,14,63400014,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400014
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,15,63400015,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400015
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,15,63400015,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400015
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,16,63400016,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400016
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,16,63400016,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400016
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,17,63400017,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400017
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,17,63400017,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400017
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,18,63400018,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400018
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,18,63400018,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400018
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,19,63400019,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400019
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,19,63400019,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400019
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,20,63400020,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400020
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,20,63400020,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400020
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,21,63400021,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400021
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,21,63400021,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400021
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,22,63400022,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400022
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,22,63400022,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400022
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,23,63400023,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400023
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,23,63400023,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400023
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,24,63400024,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400024
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,24,63400024,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400024
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,25,63400025,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400025
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,25,63400025,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400025
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,26,63400026,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400026
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,26,63400026,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400026
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,27,63400027,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400027
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,27,63400027,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400027
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,28,63400028,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400028
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,28,63400028,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400028
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,29,63400029,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400029
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,29,63400029,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400029
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,30,63400030,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400030
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,30,63400030,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400030
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,pinv,1,2,0.496000,1,63400001,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_pinv_eta0p496_seed63400001
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,2,2,0.496000,1,63400001,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400001
2,mass_minus10,mass,0.90,a366ed78fb465fbb0964b33f1f3c9a586ec729fc37330465328f33701d8755cf,cem,1,2,0.496000,2,63400002,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_mass_minus10_cem_eta0p496_seed63400002
