row_index,firmware_timestamp_ms,firmware_active_mask,reference_active_mask,max_abs_pwm_difference,nominal_m1,firmware_m1,reference_m1,abs_difference_m1,nominal_m2,firmware_m2,reference_m2,abs_difference_m2,nominal_m3,firmware_m3,reference_m3,abs_difference_m3,nominal_m4,firmware_m4,reference_m4,abs_difference_m4
0,15425,2,2,0.0,32664.0,32945.0,32945.0,0.0,32834.0,65535.0,65535.0,0.0,32664.0,32945.0,32945.0,0.0,32798.0,32516.0,32516.0,0.0
1,15445,2,2,0.0,32618.0,32944.0,32944.0,0.0,32886.0,65535.0,65535.0,0.0,32614.0,32940.0,32940.0,0.0,32850.0,32523.0,32523.0,0.0
2,15465,2,2,0.0,32583.0,32947.0,32947.0,0.0,32931.0,65535.0,65535.0,0.0,32551.0,32915.0,32915.0,0.0,32915.0,32550.0,32550.0,0.0
3,15485,2,2,0.0,32515.0,32946.0,32946.0,0.0,33009.0,65535.0,65535.0,0.0,32511.0,32942.0,32942.0,0.0,32957.0,32525.0,32525.0,0.0
4,15505,2,2,0.0,32444.0,32924.0,32924.0,0.0,33066.0,65535.0,65535.0,0.0,32468.0,32948.0,32948.0,0.0,33038.0,32557.0,32557.0,0.0
5,15525,2,2,0.0,32398.0,32955.0,32955.0,0.0,33156.0,65535.0,65535.0,0.0,32390.0,32947.0,32947.0,0.0,33088.0,32530.0,32530.0,0.0
6,15545,2,2,0.0,32327.0,32955.0,32955.0,0.0,33239.0,65535.0,65535.0,0.0,32321.0,32949.0,32949.0,0.0,33161.0,32532.0,32532.0,0.0
7,15565,2,2,0.0,32259.0,32958.0,32958.0,0.0,33321.0,65535.0,65535.0,0.0,32251.0,32950.0,32950.0,0.0,33233.0,32533.0,32533.0,0.0
8,15585,2,2,0.0,32190.0,32967.0,32967.0,0.0,33412.0,65535.0,65535.0,0.0,32170.0,32947.0,32947.0,0.0,33304.0,32526.0,32526.0,0.0
9,15605,2,2,0.0,32101.0,32954.0,32954.0,0.0,33501.0,65535.0,65535.0,0.0,32087.0,32940.0,32940.0,0.0,33391.0,32537.0,32537.0,0.0
10,15625,2,2,0.0,32019.0,32954.0,32954.0,0.0,33597.0,65535.0,65535.0,0.0,32005.0,32940.0,32940.0,0.0,33475.0,32539.0,32539.0,0.0
11,15646,2,2,0.0,31923.0,32947.0,32947.0,0.0,33701.0,65535.0,65535.0,0.0,31915.0,32939.0,32939.0,0.0,33573.0,32548.0,32548.0,0.0
12,15666,2,2,0.0,31835.0,32959.0,32959.0,0.0,33817.0,65535.0,65535.0,0.0,31817.0,32941.0,32941.0,0.0,33667.0,32542.0,32542.0,0.0
13,15686,2,2,0.0,31755.0,32963.0,32963.0,0.0,33915.0,65535.0,65535.0,0.0,31711.0,32919.0,32919.0,0.0,33775.0,32566.0,32566.0,0.0
14,15706,2,2,0.0,31654.0,32977.0,32977.0,0.0,34050.0,65535.0,65535.0,0.0,31616.0,32939.0,32939.0,0.0,33856.0,32532.0,32532.0,0.0
15,15726,2,2,0.0,31564.0,32973.0,32973.0,0.0,34150.0,65535.0,65535.0,0.0,31498.0,32907.0,32907.0,0.0,33988.0,32578.0,32578.0,0.0
16,15746,2,2,0.0,31448.0,32989.0,32989.0,0.0,34304.0,65535.0,65535.0,0.0,31406.0,32947.0,32947.0,0.0,34066.0,32524.0,32524.0,0.0
17,15766,2,2,0.0,31351.0,32982.0,32982.0,0.0,34409.0,65535.0,65535.0,0.0,31275.0,32906.0,32906.0,0.0,34213.0,32581.0,32581.0,0.0
18,15785,2,2,0.0,31212.0,32983.0,32983.0,0.0,34572.0,65535.0,65535.0,0.0,31188.0,32959.0,32959.0,0.0,34300.0,32528.0,32528.0,0.0
19,15805,2,2,0.0,31116.0,32979.0,32979.0,0.0,34680.0,65535.0,65535.0,0.0,31032.0,32895.0,32895.0,0.0,34448.0,32584.0,32584.0,0.0
20,15825,2,2,0.0,30972.0,32978.0,32978.0,0.0,34846.0,65535.0,65535.0,0.0,30932.0,32938.0,32938.0,0.0,34542.0,32535.0,32535.0,0.0
21,15845,2,2,0.0,30864.0,32988.0,32988.0,0.0,34984.0,65535.0,65535.0,0.0,30790.0,32914.0,32914.0,0.0,34686.0,32561.0,32561.0,0.0
22,15865,2,2,0.0,30733.0,32993.0,32993.0,0.0,35143.0,65535.0,65535.0,0.0,30671.0,32931.0,32931.0,0.0,34805.0,32544.0,32544.0,0.0
23,15885,2,2,0.0,30619.0,33003.0,33003.0,0.0,35287.0,65535.0,65535.0,0.0,30523.0,32907.0,32907.0,0.0,34951.0,32566.0,32566.0,0.0
24,15905,2,2,0.0,30470.0,32988.0,32988.0,0.0,35444.0,65535.0,65535.0,0.0,30390.0,32908.0,32908.0,0.0,35092.0,32573.0,32573.0,0.0
25,15926,2,2,0.0,30332.0,33001.0,33001.0,0.0,35620.0,65535.0,65535.0,0.0,30232.0,32901.0,32901.0,0.0,35232.0,32562.0,32562.0,0.0
26,15946,2,2,0.0,30188.0,33005.0,33005.0,0.0,35792.0,65535.0,65535.0,0.0,30094.0,32911.0,32911.0,0.0,35362.0,32544.0,32544.0,0.0
27,15966,2,2,0.0,30051.0,33006.0,33006.0,0.0,35953.0,65535.0,65535.0,0.0,29937.0,32892.0,32892.0,0.0,35511.0,32555.0,32555.0,0.0
28,15985,2,2,0.0,29895.0,32997.0,32997.0,0.0,36125.0,65535.0,65535.0,0.0,29785.0,32887.0,32887.0,0.0,35671.0,32568.0,32568.0,0.0
29,16005,2,2,0.0,29738.0,32988.0,32988.0,0.0,36298.0,65535.0,65535.0,0.0,29622.0,32872.0,32872.0,0.0,35822.0,32571.0,32571.0,0.0
30,16025,2,2,0.0,29580.0,32976.0,32976.0,0.0,36468.0,65535.0,65535.0,0.0,29474.0,32870.0,32870.0,0.0,35986.0,32589.0,32589.0,0.0
31,16045,2,2,0.0,29426.0,32985.0,32985.0,0.0,36658.0,65535.0,65535.0,0.0,29312.0,32871.0,32871.0,0.0,36148.0,32588.0,32588.0,0.0
32,16066,2,2,0.0,29274.0,32992.0,32992.0,0.0,36844.0,65535.0,65535.0,0.0,29140.0,32858.0,32858.0,0.0,36322.0,32603.0,32603.0,0.0
33,16086,2,2,0.0,29109.0,33005.0,33005.0,0.0,37051.0,65535.0,65535.0,0.0,28981.0,32877.0,32877.0,0.0,36483.0,32586.0,32586.0,0.0
34,16106,2,2,0.0,28954.0,33005.0,33005.0,0.0,37232.0,65535.0,65535.0,0.0,28804.0,32855.0,32855.0,0.0,36658.0,32606.0,32606.0,0.0
35,16126,2,2,0.0,28776.0,33002.0,33002.0,0.0,37436.0,65535.0,65535.0,0.0,28634.0,32860.0,32860.0,0.0,36822.0,32595.0,32595.0,0.0
36,16145,2,2,0.0,28602.0,33003.0,33003.0,0.0,37640.0,65535.0,65535.0,0.0,28452.0,32853.0,32853.0,0.0,37002.0,32600.0,32600.0,0.0
37,16165,2,2,0.0,26393.0,32709.0,32709.0,0.0,39875.0,65535.0,65535.0,0.0,26237.0,32553.0,32553.0,0.0,39211.0,32894.0,32894.0,0.0
38,16185,2,2,0.0,28261.0,33024.0,33024.0,0.0,38063.0,65535.0,65535.0,0.0,28089.0,32852.0,32852.0,0.0,37331.0,32567.0,32567.0,0.0
39,16205,2,2,0.0,25975.0,32692.0,32692.0,0.0,40343.0,65535.0,65535.0,0.0,25809.0,32526.0,32526.0,0.0,39629.0,32911.0,32911.0,0.0
40,16225,2,2,0.0,27898.0,32998.0,32998.0,0.0,38456.0,65535.0,65535.0,0.0,27728.0,32828.0,32828.0,0.0,37714.0,32613.0,32613.0,0.0
41,16245,2,2,0.0,27720.0,33002.0,33002.0,0.0,38668.0,65535.0,65535.0,0.0,27542.0,32824.0,32824.0,0.0,37898.0,32615.0,32615.0,0.0
42,16265,2,2,0.0,25342.0,32674.0,32674.0,0.0,41060.0,65535.0,65535.0,0.0,25178.0,32510.0,32510.0,0.0,40284.0,32951.0,32951.0,0.0
43,16285,2,2,0.0,27341.0,33006.0,33006.0,0.0,39115.0,65535.0,65535.0,0.0,27169.0,32834.0,32834.0,0.0,38275.0,32609.0,32609.0,0.0
44,16305,2,2,0.0,24885.0,32665.0,32665.0,0.0,41583.0,65535.0,65535.0,0.0,24759.0,32539.0,32539.0,0.0,40709.0,32928.0,32928.0,0.0
45,16325,2,2,0.0,26964.0,33007.0,33007.0,0.0,39556.0,65535.0,65535.0,0.0,26772.0,32815.0,32815.0,0.0,38672.0,32628.0,32628.0,0.0
46,16345,2,2,0.0,26777.0,33032.0,33032.0,0.0,39803.0,65535.0,65535.0,0.0,26565.0,32820.0,32820.0,0.0,38847.0,32591.0,32591.0,0.0
47,16365,2,2,0.0,24245.0,32687.0,32687.0,0.0,42355.0,65535.0,65535.0,0.0,24061.0,32503.0,32503.0,0.0,41363.0,32920.0,32920.0,0.0
48,16385,2,2,0.0,24025.0,32686.0,32686.0,0.0,42611.0,65535.0,65535.0,0.0,23821.0,32482.0,32482.0,0.0,41599.0,32937.0,32937.0,0.0
49,16405,2,2,0.0,26161.0,32992.0,32992.0,0.0,40475.0,65535.0,65535.0,0.0,25975.0,32806.0,32806.0,0.0,39493.0,32661.0,32661.0,0.0
50,16425,2,2,0.0,23555.0,32659.0,32659.0,0.0,43127.0,65535.0,65535.0,0.0,23363.0,32467.0,32467.0,0.0,42095.0,32990.0,32990.0,0.0
