host_time_s,firmware_timestamp_ms,phase,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.roll,stateEstimate.pitch
2.6068681990145706,10347,settle,-5.53478386881748e-19,3.65048859927716e-20,0.014999259263277054,0.0,0.0
2.626964866009075,10367,settle,-5.476084547611303e-19,4.5127103274120383e-20,0.014999671839177608,0.0,0.0
2.6472438700147904,10387,settle,-5.241460970715231e-19,7.854439222769575e-20,0.015175246633589268,0.0,0.0
2.667908747011097,10408,settle,-5.276243915473085e-19,1.0818474219261132e-19,0.016316838562488556,0.0,0.0
2.68793190800352,10428,settle,-5.606038757746446e-19,1.340221939147997e-19,0.01867835968732834,0.0,0.0
2.70816917202319,10448,settle,-6.371530825154683e-19,1.5614162387992708e-19,0.02225002832710743,0.0,0.0
2.728207911015488,10468,settle,-7.653679903163541e-19,1.7456637409090393e-19,0.026911001652479172,0.0,0.0
2.7478193220158573,10488,settle,-9.496085130897042e-19,1.8920173236759293e-19,0.032363489270210266,0.0,0.0
2.768204878026154,10508,settle,-1.1948367522338593e-18,2.002148796666093e-19,0.03856786713004112,0.0,0.0
2.787918961024843,10528,settle,-1.5021987664875117e-18,2.077402328374929e-19,0.04533825069665909,0.0,0.0
2.8078972790099215,10548,settle,-1.870944199637499e-18,2.1192965707082963e-19,0.05249772220849991,0.0,0.0
2.827525004016934,10567,settle,-2.3078763020293406e-18,2.1329781380399234e-19,0.06023290008306503,0.0,0.0
2.8488685420015827,10589,settle,-2.791176220452995e-18,2.1120627470045493e-19,0.06763555854558945,0.0,0.0
2.8676259920175653,10607,settle,-3.324090018427274e-18,2.0634950958324398e-19,0.07501504570245743,0.0,0.0
2.88746693302528,10627,settle,-3.900478775036115e-18,1.9894095689979228e-19,0.0822765901684761,0.0,0.0
2.9079556400247384,10648,settle,-4.446765808768692e-18,1.9288291873800119e-19,0.0898115336894989,0.0,0.0
2.928001723019406,10668,settle,-5.170020689931476e-18,1.7733193614670134e-19,0.09643556922674179,0.0,0.0
2.9476832910149824,10687,settle,-5.578104454870224e-18,1.6701363348692659e-19,0.09968921542167664,0.0,0.0
2.9680384390230756,10708,settle,-6.3409440642467334e-18,1.4871155157585194e-19,0.10650044679641724,0.0,0.0
2.9879535479994956,10728,settle,-6.961102876173665e-18,1.3583028148686991e-19,0.11285669356584549,0.0,0.0
3.0079911810171325,10748,settle,-7.697840387730757e-18,1.1452625773526376e-19,0.11861629039049149,0.0,0.0
3.027887496020412,10768,settle,-8.29707897478561e-18,9.929418558184578e-20,0.12405907362699509,0.0,0.0
3.0468729700078256,10787,settle,-8.94022844465784e-18,7.960399120533058e-20,0.12922285497188568,0.0,0.0
3.067174249998061,10807,settle,-9.568604468789872e-18,5.887048296949019e-20,0.134183868765831,0.0,0.0
3.0872453699994367,10827,settle,-1.0144049205524637e-17,3.799370123544194e-20,0.1387411653995514,0.0,0.0
3.1069017940026242,10847,settle,-1.0684165058297262e-17,1.6743602551190855e-20,0.14317338168621063,0.0,0.0
3.1268188190006185,10867,settle,-1.1162256427198823e-17,-4.555023119904183e-21,0.1472335308790207,0.0,0.0
3.1468745640013367,10887,settle,-1.1572209620321942e-17,-2.5639621462056094e-20,0.15096381306648254,0.0,0.0
3.167630807001842,10907,settle,-1.1917916522448679e-17,-4.6325856002771645e-20,0.15449678897857666,0.0,0.0
3.1889005310076755,10929,settle,-1.2194016176029079e-17,-6.597618415117091e-20,0.15784071385860443,0.0,0.0
3.2074452830129303,10947,settle,-1.2395853208575693e-17,-8.427783308489368e-20,0.16100572049617767,0.0,0.0
3.227369936008472,10967,settle,-1.2519567995350349e-17,-1.0085493968841409e-19,0.16400088369846344,0.0,0.0
3.2474204130121507,10987,settle,-1.2562178550244793e-17,-1.152463055337941e-19,0.1668335497379303,0.0,0.0
3.2684478610171936,11008,settle,-1.2534095768448617e-17,-1.274902846595923e-19,0.1696244329214096,0.0,0.0
3.2879826040007174,11028,settle,-1.2404228412277792e-17,-1.3574041606813427e-19,0.17211604118347168,0.0,0.0
3.3084028710145503,11048,settle,-1.2191025090934087e-17,-1.4007809950157406e-19,0.1744648516178131,0.0,0.0
3.32874902500771,11068,settle,-1.1895574374103621e-17,-1.3987158869177137e-19,0.1766740083694458,0.0,0.0
3.3478114580211695,11088,settle,-1.1520040993449447e-17,-1.344866687534453e-19,0.178745836019516,0.0,0.0
3.3675256010028534,11107,settle,-1.1201016456341833e-17,-1.2806803154336937e-19,0.18072019517421722,0.0,0.0
3.387018891022308,11127,settle,-1.06761811110249e-17,-1.1131284200125424e-19,0.18249264359474182,0.0,0.0
3.4070994020148646,11147,settle,-1.0083511165214331e-17,-8.767876678635984e-20,0.18413372337818146,0.0,0.0
3.4273632190015633,11167,settle,-9.42906654407769e-18,-5.666301579557319e-20,0.1856466382741928,0.0,0.0
3.44677815400064,11187,settle,-8.719794737579808e-18,-1.782858240269913e-20,0.18703514337539673,0.0,0.0
3.466835751023609,11207,settle,-7.963455527047047e-18,2.9184347265200106e-20,0.1883031725883484,0.0,0.0
3.486949762009317,11227,settle,-7.168518414771336e-18,8.463378570458144e-20,0.18945451080799103,0.0,0.0
3.5071729060146026,11247,settle,-6.3440509546274826e-18,1.482785354498775e-19,0.19049283862113953,0.0,0.0
3.526842788007343,11267,settle,-5.499598810884348e-18,2.1991284178606425e-19,0.19142208993434906,0.0,0.0
3.5468657220189925,11287,settle,-4.645054236487453e-18,2.9929873519066786e-19,0.19224649667739868,0.0,0.0
3.5669074000034016,11307,settle,-3.790524964931891e-18,3.859984044751005e-19,0.19297020137310028,0.0,0.0
3.5872176920238417,11327,settle,-2.946202688544927e-18,4.79388129608103e-19,0.19359701871871948,0.0,0.0
3.6068682309996802,11347,takeoff,-2.122210650458138e-18,5.786737396534421e-19,0.19412867724895477,0.0,0.0
