motor,fault_samples,max_fault_command,saturation_samples,active_samples,minimum_z,maximum_tilt,max_err_t,max_err_r,max_err_p,max_err_y,max_objective
1,57,65535.0,54,54,0.6189549565315247,0.05343296378850937,1746.640625,1744.640625,1744.640625,43634.640625,85298344.0
4,51,65535.0,51,51,0.6191158294677734,0.08111084252595901,1755.640625,1753.640625,1753.640625,43847.640625,86138192.0
