guard_threshold_mps,switch_count,switch_tau_s,switch_z_m,switch_vz_mps,contact_vertical_speed_mps,safe_touchdown,contact_horizontal_speed_mps,contact_max_tilt_deg,contact_angular_rate_radps,contact_drift_m,selected_candidate,contact_r2,source_csv
0.16,1,0.21258895977783254,0.7004314661026001,-0.16432209312915802,0.3408764898777008,True,0.018250777747519473,0.07443270832300186,0.017879107359823652,0.34778168485433686,guarded_opp_m2_14000_to_12000_v1,12000,logs/qp_event_allocator_m4_eta0p496_m4_guard_seed45680003_g0p16.csv
0.18,1,0.25343459233093313,0.6933828592300415,-0.19618423283100128,0.34271976351737976,True,0.01831228900041003,0.09316649287939072,0.018418044791079582,0.35109748954837133,guarded_opp_m2_14000_to_12000_v1,12000,logs/qp_event_allocator_m4_eta0p496_m4_guard_seed45680003_g0p18.csv
0.2,1,0.27167552098083547,0.689519464969635,-0.21205613017082214,0.3350611627101898,True,0.018050252217595174,0.10758630931377411,0.01841969534957915,0.35721501559778646,guarded_opp_m2_14000_to_12000_v1,12000,logs/qp_event_allocator_m4_eta0p496_m4_guard_seed45680003_g0p20.csv
