condition_id,parameter,factor,controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,0.9771732330322266,1.0816514492034912,12.958284412102428,13.079561718440898
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9246134757995605,0.932837724685669,1.8242639194410495,1.8369923038710576
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08209036737680435,0.08280530571937561,0.006237119395370521,0.007605597120625714
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.081406469643116,0.08213041722774506,0.002156317785915669,0.002394481391609175
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08197267651557923,0.08250487595796585,0.002261340293831973,0.002427580544745831
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08166698813438415,0.0820772647857666,0.002358894660885496,0.00243833760834972
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,2.338619661331177,2.514693021774292,19.295888879017024,26.93523492832581
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,1.0107776165008544,1.1676305532455444,13.44278565819626,13.698571617153375
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9258883714675903,0.9406705498695374,1.8423328264520549,1.8680403479129766
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08181819617748261,0.08239171653985977,0.007787703827763799,0.012829227749905886
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.0816340759396553,0.08227857202291489,0.0022808054810715237,0.002441879456867537
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.0820340171456337,0.08288715034723282,0.0022501807623166374,0.0024265714911187474
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08177674263715744,0.08263029158115387,0.0021583198051046714,0.002386564972734531
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,1.612641453742981,1.680356740951538,15.410504364964146,15.853880681031209
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.400,5,5,5,5,0,0.0,3,5,5,5,0,0.4520110130310059,0.6736515760421753,12.959179028865098,13.051616761239458
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,0.9213398218154907,0.936575174331665,1.7080954141582905,1.7212397282486904
