motor,eta,candidate,r1,r2,r3,r4,predicted_vz,corrected_vz,loss,config
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
4,0.497,opp_m2_10000,0,10000,0,0,0.346,0.347,0.9962799999999966,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
1,0.4975,opp_m3_10000,0,0,10000,0,0.34299999999999997,0.34299999999999997,0.34335999999999833,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3383,0.3383,0.31133599999999895,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
3,0.4975,opp_m1_12000,12000,0,0,0,0.3386,0.3386,0.21500159999999996,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
4,0.4975,opp_m2_10000,0,10000,0,0,0.34299999999999997,0.34299999999999997,0.38391999999999804,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
1,0.498,opp_m3_10000,0,0,10000,0,0.33999999999999997,0.33999999999999997,0.21519999999999895,baseline
