motor,controller,candidate,r1,r2,r3,r4,n,safe_count,safe_rate,mean_vz,std_vz,mean_drift,max_drift
1,cem,opp_m3_12000,0,0,12000,0,30,30,1.0,0.33452130754788717,0.007942948957422912,0.3029488619842035,0.3438044586172976
1,qplite,opp_m3_10000,0,0,10000,0,30,4,0.13333333333333333,0.3646983732779821,0.01178347555456409,0.25700523926251645,0.3061274287992645
3,cem,opp_m1_13000,13000,0,0,0,30,30,1.0,0.325848067800204,0.009966319666417077,0.32743433948691664,0.3614857637398011
3,qplite,opp_m1_12000,12000,0,0,0,30,28,0.9333333333333333,0.33458547095457714,0.014676249165964224,0.3034800773386858,0.3430061654192926
4,cem,opp_m2_12000,0,12000,0,0,30,29,0.9666666666666667,0.3390352616707484,0.006998526830698677,0.32293891036985567,0.3660256550500671
4,qplite,opp_m2_10000,0,10000,0,0,30,5,0.16666666666666666,0.36062913537025454,0.011614220361539586,0.26323166277742194,0.3308577090121998
