sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
1,4,1,45180001,cem_tuned_qplite,seededsupervisor_pilot8_m4_eta0p496_seed45180001,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_m4_eta0p496_seed45180001.csv
2,2,1,25180001,pinv_bounded_wls,seededsupervisor_pilot8_m2_eta0p496_seed25180001,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_m2_eta0p496_seed25180001.csv
3,1,1,15180001,cem_tuned_qplite,seededsupervisor_pilot8_m1_eta0p496_seed15180001,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_m1_eta0p496_seed15180001.csv
4,4,2,45180002,cem_tuned_qplite,seededsupervisor_pilot8_m4_eta0p496_seed45180002,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_pilot8_m4_eta0p496_seed45180002.csv
5,1,2,15180002,cem_tuned_qplite,seededsupervisor_pilot8_m1_eta0p496_seed15180002,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_pilot8_m1_eta0p496_seed15180002.csv
6,3,1,35180001,cem_tuned_qplite,seededsupervisor_pilot8_m3_eta0p496_seed35180001,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_m3_eta0p496_seed35180001.csv
7,2,2,25180002,pinv_bounded_wls,seededsupervisor_pilot8_m2_eta0p496_seed25180002,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_pilot8_m2_eta0p496_seed25180002.csv
8,3,2,35180002,cem_tuned_qplite,seededsupervisor_pilot8_m3_eta0p496_seed35180002,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_pilot8_m3_eta0p496_seed35180002.csv
