motor,eta,protocol_id,trial_seed,controller,allocator_config,rows,actual_fault_t,post_fault_rows,active_post_fault_rows,contact_found,safe_touchdown,contact_t,fault_to_contact_s,contact_phase,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok,fault_motor_allocation,expected_applied_pwm,logged_applied_pwm,pinv_active_mask,pinv_err_thrust,pinv_err_yaw,pinv_objective,summary_file
1,0.496,seeded_ic_v1,14980011,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4191,9.985650539398193,2700,2610,True,True,14.68782925605774,4.702178716659546,adaptive_brake,0.34912508726119995,0.0008749127388000266,0.008572727149550161,0.006067625712603331,0.07803823897496827,0.038850411206930474,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980011_summary.csv
1,0.496,seeded_ic_v1,14980012,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4194,10.004427194595337,2700,2607,True,True,14.76631236076355,4.761885166168213,adaptive_brake,0.3491095006465912,0.0008904993534087913,0.008875557770616651,0.01027478463947773,0.08099393604199463,0.030802038359181425,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980012_summary.csv
1,0.496,seeded_ic_v1,14980013,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4158,9.784950733184814,2697,2610,True,True,14.503980875015259,4.719030141830444,adaptive_brake,0.34711602330207825,0.0028839766979217307,0.008943572596134193,0.009171424433588982,0.08205992467606273,0.019893053839259062,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980013_summary.csv
1,0.496,seeded_ic_v1,14980014,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4176,9.886040210723877,2700,2613,True,True,14.584999561309814,4.6989593505859375,adaptive_brake,0.33823439478874207,0.011765605211257912,0.008832173965868146,0.015138711780309677,0.08419787417341978,0.021042826453592567,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980014_summary.csv
1,0.496,seeded_ic_v1,14980015,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4167,9.845924854278564,2697,2601,True,True,14.581106662750244,4.73518180847168,adaptive_brake,0.3463016748428345,0.003698325157165505,0.007073546066030505,0.0539693608880043,0.08119408680433439,0.029143362870832117,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980015_summary.csv
1,0.496,seeded_ic_v1,14980016,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4206,10.087717771530151,2700,2610,True,True,14.747669696807861,4.65995192527771,adaptive_brake,0.34587493538856506,0.004125064611434914,0.008394736067364135,0.022778866812586784,0.08085040652551656,0.03283775046181143,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980016_summary.csv
1,0.496,seeded_ic_v1,14980017,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4170,9.883314609527588,2697,2610,True,True,14.643308401107788,4.7599937915802,adaptive_brake,0.345647394657135,0.004352605342864968,0.008079641865847625,0.020425880327820778,0.0938775550611369,0.04614902992955245,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980017_summary.csv
1,0.496,seeded_ic_v1,14980018,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4215,10.143988847732544,2700,2607,True,True,14.86519193649292,4.721203088760376,adaptive_brake,0.3335161805152893,0.01648381948471067,0.00852625761507047,0.0260264053940773,0.08314378901708389,0.036032122094946994,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980018_summary.csv
1,0.496,seeded_ic_v1,14980019,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4206,10.084534168243408,2700,2610,True,True,14.703624486923218,4.61909031867981,adaptive_brake,0.346608966588974,0.0033910334110259788,0.008142232762906145,0.029593350365757942,0.0790051739208462,0.02714536679825964,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980019_summary.csv
1,0.496,seeded_ic_v1,14980020,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4221,10.18432903289795,2700,2613,True,True,14.863405704498291,4.679076671600342,adaptive_brake,0.34577876329421997,0.004221236705780007,0.008742580767177183,0.0036092186346650124,0.08016062837588289,0.020272154662479277,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980020_summary.csv
1,0.496,seeded_ic_v1,14980021,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4229,10.249201774597168,2699,2615,True,True,15.00903582572937,4.759834051132202,adaptive_brake,0.3482834994792938,0.0017165005207061546,0.008429768909753886,0.013666175305843353,0.08006114366981255,0.028672650531563003,True,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980021_summary.csv
1,0.496,seeded_ic_v1,14980022,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4209,10.12338376045227,2697,2610,True,False,14.763138771057129,4.639755010604858,adaptive_brake,0.3501449525356293,-0.00014495253562929467,0.00855837756239503,0.01990646868944168,0.08101662233716647,0.047736749210560196,False,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980022_summary.csv
1,0.496,seeded_ic_v1,14980023,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4176,9.883713245391846,2700,2607,True,False,14.524574756622314,4.640861511230469,adaptive_brake,0.35636281967163086,-0.006362819671630882,0.008530006710570753,0.023073730990290642,0.07782263595457928,0.012034643554115224,False,True,True,True,True,65535,32505,32505,1,-4719.640625,-117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m1_eta0p496_seededpinv_pinv_m1_eta0p496_seed14980023_summary.csv
