motor,n_pairs,pinv_safe_count,qplite_safe_count,safe_count_difference_pinv_minus_qplite,both_safe,pinv_only_safe,qplite_only_safe,both_unsafe,mcnemar_exact_two_sided_p,mean_pinv_vertical_speed_mps,mean_qplite_vertical_speed_mps,mean_speed_difference_pinv_minus_qplite,median_speed_difference_pinv_minus_qplite,bootstrap95_mean_difference_lower,bootstrap95_mean_difference_upper
1,30,26,4,22,4,22,0,4,4.76837158203125e-07,0.34468373159567517,0.3646983732779821,-0.020014641682306926,-0.019889533519744873,-0.02405331035455068,-0.015779537955919902
2,30,30,6,24,6,24,0,0,1.1920928955078125e-07,0.31836928526560465,0.3586870849132538,-0.04031779964764913,-0.03137992322444916,-0.054560100038846336,-0.028809215625127158
3,30,19,28,-9,17,2,11,0,0.0224609375,0.30009983976682025,0.33458547095457714,-0.034485631187756854,-0.06511509418487549,-0.05476160297791163,-0.013594962159792582
4,30,0,5,-5,0,0,5,25,0.0625,0.3753596991300583,0.36062913537025454,0.014730563759803772,0.01630750298500061,0.010721570253372193,0.018730096022288003
