motor,trial_seed,pinv_safe,qplite_safe,pinv_vertical_speed_mps,qplite_vertical_speed_mps,vertical_speed_difference_pinv_minus_qplite,both_safe,pinv_only_safe,qplite_only_safe,both_unsafe,qplite_source_csv
1,14980029,True,False,0.3372791111469269,0.37153035402297974,-0.034251242876052856,False,True,False,False,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980029.csv
1,14980030,True,False,0.34443408250808716,0.35947921872138977,-0.015045136213302612,False,True,False,False,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980030.csv
3,34980001,True,True,0.3419052064418793,0.3229856491088867,0.018919557332992554,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980001.csv
3,34980002,False,True,0.35548266768455505,0.34522274136543274,0.010259926319122314,False,False,True,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980002.csv
3,34980003,True,False,0.25507500767707825,0.35576432943344116,-0.10068932175636292,False,True,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980003.csv
3,34980004,True,False,0.24665102362632751,0.35317590832710266,-0.10652488470077515,False,True,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980004.csv
3,34980005,True,True,0.2498472034931183,0.3481338322162628,-0.09828662872314453,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980005.csv
3,34980006,True,True,0.2535965144634247,0.3282420337200165,-0.0746455192565918,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980006.csv
3,34980007,True,True,0.2501581311225891,0.3378934860229492,-0.08773535490036011,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980007.csv
3,34980008,True,True,0.25106585025787354,0.3430355489253998,-0.09196969866752625,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980008.csv
3,34980009,True,True,0.2587767243385315,0.3338349461555481,-0.0750582218170166,True,False,False,False,logs/qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980009.csv
