configuration,motor,trial_seed,source_csv,rows,actual_fault_t,fault_z,fault_vz,contact_found,contact_t,fault_to_contact_s,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
qplite,1,14980001,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980001.csv,4171,9.866082191467285,0.6965820789337158,-0.0038470174185931683,True,12.426100492477417,2.560018301010132,False,0.3916913866996765,-0.041691386699676536,0.023225853506917863,0.18342269957065582,0.03203665512441481,0.24131990870062933,False,True,True,True,True
qplite,1,14980002,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980002.csv,4168,9.825536012649536,0.7251743078231812,-0.004259772133082151,True,12.605485677719116,2.77994966506958,False,0.36386242508888245,-0.013862425088882468,0.017288247204757416,0.16036321222782135,0.028255830646038104,0.26236556757981,False,True,True,True,True
qplite,1,14980003,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980003.csv,4225,10.205849647521973,0.7223876714706421,-0.003920344170182943,True,12.947788715362549,2.741939067840576,False,0.37698978185653687,-0.026989781856536887,0.016652786616956492,0.11966639012098312,0.0296131177094412,0.2600738425276979,False,True,True,True,True
qplite,1,14980004,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980004.csv,4192,10.007762908935547,0.703349769115448,-0.003991499077528715,True,12.709742307662964,2.701979398727417,False,0.3597642779350281,-0.009764277935028098,0.018625197401586226,0.14380215108394623,0.02967034486281691,0.2655366207888662,False,True,True,True,True
qplite,1,14980005,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980005.csv,4198,10.025338649749756,0.732722818851471,-0.0037933140993118286,True,12.804544448852539,2.779205799102783,False,0.3653450012207031,-0.015345001220703147,0.015773550500071953,0.0916697308421135,0.026907908552958416,0.2337634842156226,False,True,True,True,True
qplite,1,14980006,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980006.csv,4219,10.191821336746216,0.6998535990715027,-0.003917430993169546,True,12.872756958007812,2.6809356212615967,False,0.36621183156967163,-0.016211831569671653,0.01910106615917512,0.12745656073093414,0.02987867987325345,0.2576769179098488,False,True,True,True,True
qplite,1,14980007,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980007.csv,4165,9.803699254989624,0.7156130075454712,-0.00420603109523654,True,12.523624181747437,2.7199249267578125,False,0.3706728518009186,-0.0206728518009186,0.018202585157530374,0.13184498250484467,0.03111761372429431,0.2609493672152591,False,True,True,True,True
qplite,1,14980008,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980008.csv,4171,9.875919580459595,0.7166978120803833,-0.0038366178050637245,True,12.735913038253784,2.8599934577941895,True,0.3296506702899933,0.02034932971000669,0.014294881116999872,0.19706200063228607,0.025490892457377727,0.28243079443804403,True,True,True,True,True
qplite,1,14980009,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980009.csv,4213,10.13248085975647,0.7290927767753601,-0.003673385828733444,True,12.911425590515137,2.778944730758667,False,0.35903871059417725,-0.009038710594177268,0.014677630658858376,0.08825019747018814,0.028587543322089775,0.27788385113101194,False,True,True,True,True
qplite,1,14980010,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980010.csv,4195,10.004732608795166,0.7014150023460388,-0.0038656701799482107,True,12.704639434814453,2.699906826019287,False,0.35814088582992554,-0.00814088582992556,0.01912593871598523,0.14004595577716827,0.029369677599311257,0.24791530899870284,False,True,True,True,True
qplite,1,14980011,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980011.csv,4192,9.988409042358398,0.7228397130966187,-0.0038076878990978003,True,12.72946286201477,2.741053819656372,False,0.3720746636390686,-0.022074663639068626,0.018597424316187643,0.168691024184227,0.030408753774147784,0.27662945668467825,False,True,True,True,True
qplite,1,14980012,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980012.csv,4192,10.00717544555664,0.729261577129364,-0.003839547513052821,True,12.789173603057861,2.7819981575012207,False,0.36693501472473145,-0.016935014724731468,0.01411258911143557,0.0714610144495964,0.02876570863153679,0.24458133534783977,False,True,True,True,True
qplite,1,14980013,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980013.csv,4159,9.767246007919312,0.7295496463775635,-0.003960329573601484,True,12.48618459701538,2.7189385890960693,False,0.37518906593322754,-0.02518906593322756,0.017379542946947348,0.11807260662317276,0.029813940528429443,0.25130257555950225,False,True,True,True,True
qplite,1,14980014,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980014.csv,4177,9.88874101638794,0.7026395797729492,-0.003913858439773321,True,12.56864333152771,2.6799023151397705,False,0.36786088347435,-0.017860883474349998,0.01906830365830239,0.12925201654434204,0.029875214361902068,0.25876178585769805,False,True,True,True,True
qplite,1,14980015,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980015.csv,4168,9.848853588104248,0.7089332342147827,-0.003920890390872955,True,12.651978731155396,2.8031251430511475,True,0.3455585837364197,0.0044414162635803,0.0074405659570249616,0.09261947125196457,0.028805394724391684,0.21092202300245147,True,True,True,True,True
qplite,1,14980016,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980016.csv,4207,10.087995290756226,0.7113291621208191,-0.003656954038888216,True,12.807019472122192,2.719024181365967,False,0.3576984107494354,-0.007698410749435447,0.01755666142550753,0.12144867330789566,0.02959192834256721,0.2608448368139931,False,True,True,True,True
qplite,1,14980017,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980017.csv,4174,9.865964651107788,0.7229441404342651,-0.004285868257284164,True,12.605973720550537,2.740009069442749,False,0.36706945300102234,-0.01706945300102236,0.018913152556784413,0.1720564216375351,0.02937451430894419,0.2832456059982082,False,True,True,True,True
qplite,1,14980018,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980018.csv,4213,10.150128841400146,0.6950127482414246,-0.003775242017582059,True,12.810200691223145,2.660071849822998,False,0.36669179797172546,-0.016691797971725486,0.020942611570665882,0.15372198820114136,0.031117180594100857,0.27790235272348096,False,True,True,True,True
qplite,1,14980019,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980019.csv,4204,10.084740161895752,0.7057395577430725,-0.003594722133129835,True,12.766780138015747,2.682039976119995,False,0.36166542768478394,-0.011665427684783958,0.021472377719148863,0.18476945161819458,0.031282687579833726,0.25489903608158654,False,True,True,True,True
qplite,1,14980020,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980020.csv,4222,10.185684442520142,0.7170576453208923,-0.003942680545151234,True,12.924476385116577,2.7387919425964355,False,0.37092727422714233,-0.020927274227142356,0.01751628401854705,0.13630987703800201,0.03052312569291414,0.22245813493520533,False,True,True,True,True
qplite,1,14980021,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980021.csv,4231,10.245627164840698,0.7296019196510315,-0.003984611947089434,True,12.9846351146698,2.7390079498291016,False,0.3774292767047882,-0.02742927670478823,0.018372512935757833,0.1631581336259842,0.029261708131840466,0.2576960990937841,False,True,True,True,True
qplite,1,14980022,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980022.csv,4210,10.127326011657715,0.7143792510032654,-0.003914376720786095,True,12.869306087493896,2.7419800758361816,False,0.3665686845779419,-0.016568684577941917,0.0166844239802721,0.12070870399475098,0.029594723663523975,0.27805482862200803,False,True,True,True,True
qplite,1,14980023,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980023.csv,4177,9.884341955184937,0.7208976745605469,-0.004179311450570822,True,12.644333124160767,2.75999116897583,False,0.36874520778656006,-0.01874520778656008,0.01695833264038395,0.13271673023700714,0.02868033464942614,0.2440876497030275,False,True,True,True,True
qplite,1,14980024,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980024.csv,4204,10.087315082550049,0.6940528750419617,-0.0034714117646217346,True,12.808181047439575,2.7208659648895264,True,0.3458089530467987,0.004191046953201272,0.020574328101831064,0.19006237387657166,0.02907791287639367,0.3061274287992646,True,True,True,True,True
qplite,1,14980025,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980025.csv,4225,10.229307651519775,0.7092301845550537,-0.0034935951698571444,True,12.949239253997803,2.7199316024780273,False,0.36927908658981323,-0.019279086589813255,0.016777653856466578,0.09660829603672028,0.02961009268482555,0.25393398823141383,False,True,True,True,True
qplite,1,14980026,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980026.csv,4222,10.20679783821106,0.7021118998527527,-0.0033334922045469284,True,12.992903470993042,2.7861056327819824,True,0.3452970087528229,0.004702991247177102,0.016743339069722224,0.160158172249794,0.027034429675118384,0.23789971712574673,True,True,True,True,True
qplite,1,14980027,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980027.csv,4180,9.927595376968384,0.6990594267845154,-0.0037792231887578964,True,12.588634014129639,2.661038637161255,False,0.37456175684928894,-0.024561756849288963,0.02033507250821637,0.13482634723186493,0.03027101487452959,0.27097167183152016,False,True,True,True,True
