motor,n_pairs,pinv_safe_count,qplite_safe_count,cem_tuned_safe_count,pinv_mean_vertical_speed_mps,qplite_mean_vertical_speed_mps,cem_tuned_mean_vertical_speed_mps,cochran_q,cochran_q_p
1,30,26,4,30,0.34468373159567517,0.3646983732779821,0.33123853703339895,45.23076923076923,1.5075206000327284e-10
2,30,30,6,3,0.31836928526560465,0.3586870849132538,0.3631768693526586,43.8,3.08283901313868e-10
3,30,19,28,29,0.30009983976682025,0.33458547095457714,0.3266220182180405,13.0,0.0015034391929775724
4,30,0,5,23,0.3753596991300583,0.36062913537025454,0.3453474501768748,38.17391304347826,5.136178473038425e-09
