motor,n,safe_count,mean_vertical_speed_mps,std_vertical_speed_mps,minimum_vertical_speed_mps,p05_vertical_speed_mps,p25_vertical_speed_mps,median_vertical_speed_mps,p75_vertical_speed_mps,p95_vertical_speed_mps,maximum_vertical_speed_mps,robust_safe_le_0p34,near_safe_0p34_to_0p35,near_failure_0p35_to_0p36,clear_failure_gt_0p36
1,30,26,0.34468373159567517,0.005419209101603093,0.3335161805152893,0.33681330382823943,0.34063830971717834,0.3453579694032669,0.34799163043498993,0.3539072826504707,0.35636281967163086,7,19,4,0
2,30,30,0.31836928526560465,0.03486859569894356,0.21133726835250854,0.2194361299276352,0.3239655941724777,0.3293292373418808,0.33204104751348495,0.3383078709244728,0.3409856855869293,29,1,0,0
3,30,19,0.30009983976682025,0.05240783377484925,0.2429502308368683,0.24461983218789102,0.2510357201099396,0.2623038738965988,0.35388898849487305,0.36303251832723615,0.368940144777298,16,3,8,3
4,30,0,0.3753596991300583,0.007555881673141999,0.362041175365448,0.36361787617206576,0.3711307644844055,0.3762226700782776,0.38024669885635376,0.3864740639925003,0.38803911209106445,0,0,0,30
