motor,trial_seed,source_csv,rows,actual_fault_t,fault_z,fault_vz,contact_found,contact_t,fault_to_contact_s,contact_phase,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
1,14980001,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980001.csv,4171,9.866082191467285,0.6965820789337158,-0.0038470174185931683,True,12.426100492477417,2.560018301010132,adaptive_brake,False,0.3916913866996765,-0.041691386699676536,0.023225853506917863,0.18342269957065582,0.03203665512441481,0.24131990870062933,False,True,True,True,True
1,14980002,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980002.csv,4168,9.825536012649536,0.7251743078231812,-0.004259772133082151,True,12.605485677719116,2.77994966506958,adaptive_brake,False,0.36386242508888245,-0.013862425088882468,0.017288247204757416,0.16036321222782135,0.028255830646038104,0.26236556757981,False,True,True,True,True
1,14980003,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980003.csv,4225,10.205849647521973,0.7223876714706421,-0.003920344170182943,True,12.947788715362549,2.741939067840576,adaptive_brake,False,0.37698978185653687,-0.026989781856536887,0.016652786616956492,0.11966639012098312,0.0296131177094412,0.2600738425276979,False,True,True,True,True
1,14980004,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980004.csv,4192,10.007762908935547,0.703349769115448,-0.003991499077528715,True,12.709742307662964,2.701979398727417,adaptive_brake,False,0.3597642779350281,-0.009764277935028098,0.018625197401586226,0.14380215108394623,0.02967034486281691,0.2655366207888662,False,True,True,True,True
1,14980005,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980005.csv,4198,10.025338649749756,0.732722818851471,-0.0037933140993118286,True,12.804544448852539,2.779205799102783,adaptive_brake,False,0.3653450012207031,-0.015345001220703147,0.015773550500071953,0.0916697308421135,0.026907908552958416,0.2337634842156226,False,True,True,True,True
1,14980006,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980006.csv,4219,10.191821336746216,0.6998535990715027,-0.003917430993169546,True,12.872756958007812,2.6809356212615967,adaptive_brake,False,0.36621183156967163,-0.016211831569671653,0.01910106615917512,0.12745656073093414,0.02987867987325345,0.2576769179098488,False,True,True,True,True
1,14980007,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980007.csv,4165,9.803699254989624,0.7156130075454712,-0.00420603109523654,True,12.523624181747437,2.7199249267578125,adaptive_brake,False,0.3706728518009186,-0.0206728518009186,0.018202585157530374,0.13184498250484467,0.03111761372429431,0.2609493672152591,False,True,True,True,True
1,14980008,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980008.csv,4171,9.875919580459595,0.7166978120803833,-0.0038366178050637245,True,12.735913038253784,2.8599934577941895,adaptive_brake,True,0.3296506702899933,0.02034932971000669,0.014294881116999872,0.19706200063228607,0.025490892457377727,0.28243079443804403,True,True,True,True,True
1,14980009,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980009.csv,4213,10.13248085975647,0.7290927767753601,-0.003673385828733444,True,12.911425590515137,2.778944730758667,adaptive_brake,False,0.35903871059417725,-0.009038710594177268,0.014677630658858376,0.08825019747018814,0.028587543322089775,0.27788385113101194,False,True,True,True,True
1,14980010,logs/qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980010.csv,4195,10.004732608795166,0.7014150023460388,-0.0038656701799482107,True,12.704639434814453,2.699906826019287,adaptive_brake,False,0.35814088582992554,-0.00814088582992556,0.01912593871598523,0.14004595577716827,0.029369677599311257,0.24791530899870284,False,True,True,True,True
