motor,eta,n,contact_count,safe_count,unsafe_count,safe_rate,safe_rate_wilson95_lower,safe_rate_wilson95_upper,no_contact_count,vertical_speed_failure_count,horizontal_speed_failure_count,tilt_failure_count,angular_rate_failure_count,drift_failure_count,mean_vertical_speed_mps,median_vertical_speed_mps,std_vertical_speed_mps,min_vertical_speed_mps,max_vertical_speed_mps,mean_vertical_speed_margin_mps,min_vertical_speed_margin_mps,max_vertical_speed_margin_mps,mean_horizontal_speed_mps,max_horizontal_speed_mps,mean_max_tilt_deg,max_tilt_deg,mean_angular_rate_radps,max_angular_rate_radps,mean_horizontal_drift_m,max_horizontal_drift_m,mean_fault_to_contact_s,min_fault_to_contact_s,max_fault_to_contact_s
1,0.496,30,30,26,4,0.8666666666666667,0.703186733179637,0.9469034451594526,0,4,0,0,0,0,0.34468373159567517,0.3453579694032669,0.005419209101603093,0.3335161805152893,0.35636281967163086,0.005316268404324827,-0.006362819671630882,0.01648381948471067,0.00848093775130676,0.008995904277833897,0.018612949907158814,0.0539693608880043,0.0821353982609532,0.0938775550611369,0.029207784991248188,0.05948020438359231,4.690231084823608,4.561164379119873,4.799567937850952
2,0.496,30,30,30,0,1.0,0.8864866068260312,0.9999999999999999,0,0,0,0,0,0,0.31836928526560465,0.3293292373418808,0.03486859569894356,0.21133726835250854,0.3409856855869293,0.03163071473439532,0.009014314413070657,0.13866273164749143,0.007723403062167029,0.008635153770257609,0.026116182406743366,0.051430732011795044,0.07561627982524347,0.08606651015113027,0.029649978718527467,0.049685872545167535,5.361163886388143,5.140104532241821,6.826749801635742
3,0.496,30,30,19,11,0.6333333333333333,0.4551356365479487,0.7812607919389929,0,11,0,0,0,0,0.30009983976682025,0.2623038738965988,0.05240783377484925,0.2429502308368683,0.368940144777298,0.049900160233179704,-0.018940144777297996,0.10704976916313169,0.008951749466832921,0.010083028817763304,0.04584202036106338,0.08442950993776321,0.06792096752441436,0.09053243225050267,0.03212810702572725,0.07112433759350446,5.4500042279561365,4.6349403858184814,6.301677465438843
4,0.496,30,30,0,30,0.0,0.0,0.11351339317396876,0,30,0,0,0,0,0.3753596991300583,0.3762226700782776,0.007555881673141999,0.362041175365448,0.38803911209106445,-0.02535969913005831,-0.038039112091064475,-0.01204117536544802,0.009123551707994065,0.009631128895851814,0.03083604248628641,0.05380896106362343,0.0857568931128814,0.09165257640198973,0.02828356320381565,0.06089351881901439,4.339223488171895,4.23979926109314,4.441218614578247
