motor,n,contact_count,safe_count,mean_vertical_speed_mps,min_vertical_speed_mps,max_vertical_speed_mps
1,2,2,2,0.3470371812582016,0.3450685441493988,0.3490058183670044
2,2,2,2,0.3282594084739685,0.32550305128097534,0.33101576566696167
3,2,2,1,0.34869393706321716,0.3419052064418793,0.35548266768455505
4,2,2,0,0.37481163442134857,0.37178531289100647,0.3778379559516907
